state,state1,zip,provider,DOB,uri,planname,quote_P,apply_P,confirm_P
Alabama,AL,35215,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Alaska,AK,99504,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Arkansas,AR,72209,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Arizona,AZ,85364,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##California,CA,90011,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Colorado,CO,80219,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Connecticut,CT,06606,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Delaware,DE,19805,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##District Of Columbia,DC,20015,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Florida,FL,33186,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Georgia,GA,30044,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Hawaii,HI,96818,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Iowa,IA,50317,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Idaho,ID,83709,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Illinois,IL,60629,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Indiana,IN,46227,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Kansas,KS,66062,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Kentucky,KY,40214,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Louisiana,LA,70816,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Massachusetts,MA,02128,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Maryland,MD,21215,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Maine,ME,04401,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Michigan,MI,48228,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Minnesota,MN,55106,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Missouri,MO,63129,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Mississippi,MS,39503,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Montana,MT,59102,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
North Carolina,NC,28269,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
North Dakota,ND,58103,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Nebraska,NE,68104,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##New Hampshire,NH,03103,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##New Jersey,NJ,08701,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##New Mexico,NM,87121,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Nevada,NV,89110,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##New York,NY,11226,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Ohio,OH,43228,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Oklahoma,OK,73160,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Oregon,OR,97229,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Pennsylvania,PA,19120,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Rhode Island,RI,02909,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
South Carolina,SC,29223,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
South Dakota,SD,57106,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Tennessee,TN,37013,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Texas,TX,79936,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Utah,UT,84120,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Virginia,VA,23464,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Vermont,VT,05401,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
##Washington,WA,98115,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Wisconsin,WI,53215,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
West Virginia,WV,25302,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
Wyoming,WY,82001,Unified Premier,03/06/1985,${uri},${planname},${quote_P},${apply_P},${review_P}
