"state","state1","zipcode","HII_P","Dental_Protector_I","Defender","Guardian","Vision"
"Alabama","AL","35215","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Alaska","AK","99504","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Arkansas","AR","72209","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Arizona","AZ","85364","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"California","CA","90011","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Colorado","CO","80219","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Connecticut","CT","06606","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Delaware","DE","19805","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"DC","DC","20015","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Florida","FL","33186","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Georgia","GA","30044","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Hawaii","HI","96818","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Iowa","IA","50317","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Idaho","ID","83709","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Illinois","IL","60629","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Indiana","IN","46227","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Kansas","KS","66062","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Kentucky","KY","40214","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Louisiana","LA","70816","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Massachusetts","MA","02128","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Maryland","MD","21215","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Maine","ME","04401","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Michigan","MI","48228","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Minnesota","MN","55106","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Missouri","MO","63129","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Mississippi","MS","39503","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Montana","MT","59102","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"North Carolina","NC","28269","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"North Dakota","ND","58103","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Nebraska","NE","68104","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"New Hampshire","NH","03103","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##New Jersey","NJ","08701","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"New Mexico","NM","87121","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Nevada","NV","89110","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##New York","NY","11226","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Ohio","OH","43228","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Oklahoma","OK","73160","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Oregon","OR","97229","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Pennsylvania","PA","19120","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Rhode Island","RI","02909","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"South Carolina","SC","29223","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"South Dakota","SD","57106","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Tennessee","TN","37013","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Texas","TX","79936","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Utah","UT","84120","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Virginia","VA","23464","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"##Vermont","VT","05401","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Washington","WA","98115","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Wisconsin","WI","53215","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"West Virginia","WV","25302","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
"Wyoming","WY","82001","${HII_P}","${Dental_Protector_I}","${Defender}","${Guardian}","${Vision}"
