"state","state1","zip","provider","age","DOB","start","uri","planname","quote_P","confirm_P"
"Alabama","AL","35215","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Alabama","AL","36310","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Alaska","AK","99504","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Arkansas","AR","72209","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Arizona","AZ","85364","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","90011","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","91301","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","92653","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##California","CA","96101","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Colorado","CO","80219","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Connecticut","CT","06606","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Delaware","DE","19805","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##DC","DC","20015","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Florida","FL","33186","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Florida","FL","32234","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Georgia","GA","30044","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Georgia","GA","31622","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Hawaii","HI","96818","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Iowa","IA","50317","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Idaho","ID","83709","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Illinois","IL","60629","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Illinois","IL","61410","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Indiana","IN","46227","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Kansas","KS","66062","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
"##Kentucky","KY","40214","HCC Advantage","20","03/06/1995","10/01/2015","${uri}","${planname}","${quote_P}","${review_P}"
