"state","state1","zipcode","planUri","url1","url2"
"Alabama","AL","35215","nationalgeneral-al-5000-20-7000-1000000","${url1}","${url2}"
"##Alaska","AK","99504","${planUri}","${url1}","${url2}"
"##Arkansas","AR","72209","${planUri}","${url1}","${url2}"
"##Arizona","AZ","85364","${planUri}","${url1}","${url2}"
"##California","CA","90011","${planUri}","${url1}","${url2}"
"##Colorado","CO","80219","${planUri}","${url1}","${url2}"
"##Connecticut","CT","6606","${planUri}","${url1}","${url2}"
"##Delaware","DE","19805","${planUri}","${url1}","${url2}"
"##District Of Columbia","DC","20015","${planUri}","${url1}","${url2}"
"##Florida","FL","33186","${planUri}","${url1}","${url2}"
"##Georgia","GA","30044","${planUri}","${url1}","${url2}"
"##Hawaii","HI","96818","${planUri}","${url1}","${url2}"
"##Iowa","IA","50317","${planUri}","${url1}","${url2}"
"##Idaho","ID","83709","${planUri}","${url1}","${url2}"
"Illinois","IL","60629","nationalgeneral-il-5000-50-8750-250000","${url1}","${url2}"
"##Kansas","KS","66062","${planUri}","${url1}","${url2}"
"##Kentucky","KY","40214","${planUri}","${url1}","${url2}"
"##Louisiana","LA","70816","${planUri}","${url1}","${url2}"
"##Massachusetts","MA","2128","${planUri}","${url1}","${url2}"
"##Maryland","MD","21215","${planUri}","${url1}","${url2}"
"##Maine","ME","4401","${planUri}","${url1}","${url2}"
"##Michigan","MI","48228","${planUri}","${url1}","${url2}"
"##Minnesota","MN","55106","${planUri}","${url1}","${url2}"
"##Missouri","MO","63129","${planUri}","${url1}","${url2}"
"##Mississippi","MS","39503","${planUri}","${url1}","${url2}"
"##Montana","MT","59102","${planUri}","${url1}","${url2}"
"##North Carolina","NC","28269","${planUri}","${url1}","${url2}"
"##North Dakota","ND","58103","${planUri}","${url1}","${url2}"
"##Nebraska","NE","68104","${planUri}","${url1}","${url2}"
"##New Hampshire","NH","3103","${planUri}","${url1}","${url2}"
"##New Jersey","NJ","8701","${planUri}","${url1}","${url2}"
"##New Mexico","NM","87121","${planUri}","${url1}","${url2}"
"##Nevada","NV","89110","${planUri}","${url1}","${url2}"
"##New York","NY","11226","${planUri}","${url1}","${url2}"
"##Ohio","OH","43228","${planUri}","${url1}","${url2}"
"##Oklahoma","OK","73160","${planUri}","${url1}","${url2}"
"##Oregon","OR","97229","${planUri}","${url1}","${url2}"
"##Pennsylvania","PA","19120","${planUri}","${url1}","${url2}"
"##Rhode Island","RI","2909","${planUri}","${url1}","${url2}"
"##South Carolina","SC","29223","${planUri}","${url1}","${url2}"
"##South Dakota","SD","57106","${planUri}","${url1}","${url2}"
"##Tennessee","TN","37013","${planUri}","${url1}","${url2}"
"##Texas","TX","79936","${planUri}","${url1}","${url2}"
"##Utah","UT","84120","${planUri}","${url1}","${url2}"
"##Virginia","VA","23464","${planUri}","${url1}","${url2}"
"##Vermont","VT","5401","${planUri}","${url1}","${url2}"
"##Washington","WA","98115","${planUri}","${url1}","${url2}"
"##Wisconsin","WI","53215","${planUri}","${url1}","${url2}"
"##West Virginia","WV","25302","${planUri}","${url1}","${url2}"
"##Wyoming","WY","82001","${planUri}","${url1}","${url2}"
