state1,Carrier,zipcode,planUri,url1,url2
IL,UHC,60629,unitedhealthone-il-value-2500-30-7500,${url1},${url2}
IL,UHC,60629,unitedhealthone-il-plus-10000-30-15000,${url1},${url2}
IL,UHC,60629,unitedhealthone-il-plus-elite-10000-30-15000,${url1},${url2}
IL,UHC,60629,unitedhealthone-il-copay-value-10000-30-20000,${url1},${url2}
IL,UHC,60629,unitedhealthone-il-copay-10000-30-20000,${url1},${url2}
GA,UHC,30301,unitedhealthone-ga-value-2500-30-7500,${url1},${url2}
GA,UHC,30301,unitedhealthone-ga-plus-10000-30-15000,${url1},${url2}
GA,UHC,30301,unitedhealthone-ga-plus-elite-10000-30-15000,${url1},${url2}
GA,UHC,30301,unitedhealthone-ga-copay-value-10000-30-20000,${url1},${url2}
GA,UHC,30301,unitedhealthone-ga-copay-10000-30-20000,${url1},${url2}
CA,IHC,90001,ihc-secure-lite-ca-2500-20-4500,${url1},${url2}
CA,IHC,90001,ihc-secure-stm-ca-5000-50-10000,${url1},${url2}
AZ,IHC,85364,ihc-secure-stm-az-5000-50-15000,${url1},${url2}
AZ,IHC,85364,ihc-secure-stm-az-5000-20-8000,${url1},${url2}
AZ,NG,85364,nationalgeneral-az-5000-0-5000-1000000,${url1},${url2}
AZ,NG,85364,nationalgeneral-az-5000-20-7000-1000000,${url1},${url2}
AZ,NG,85364,nationalgeneral-az-5000-50-8750-250000,${url1},${url2}
AZ,Slaico,85364,slaico-az-plan-2-5000-20-20000-250000,${url1},${url2}
AZ,Slaico,85364,slaico-az-plan-3-5000-30-10000-1000000,${url1},${url2}
AZ,LifeShield,85364,lifeshield-flex-az-5000-20-9000-750000,${url1},${url2}
AZ,LifeShield,85364,lifeshield-flex-az-5000-0-5000-1000000,${url1},${url2}
AZ,LifeShield,85364,lifeshield-advantage-az-5000-20-9000-1000000,${url1},${url2}
AZ,LifeShield,85364,lifeshield-advantage-az-5000-20-8000-750000,${url1},${url2}
AZ,Everest ,85364,everest-one-az-5000-20-7000-250000,${url1},${url2}
AZ,Everest ,85364,everest-one-az-2500-20-6500-1000000,${url1},${url2}
AZ,Everest Prime,85364,everest-az-5000-30-7000-750000,${url1},${url2}
AZ,Everest Prime,85364,everest-az-5000-0-5000-1500000,${url1},${url2}
AZ,Everest Prime,85364,everest-az-5000-20-10000-1500000,${url1},${url2}
