"carrierid","url1","url2"
"everest","${url1}","${url2}"
"##united-health","${url1}","${url2}"
"##nationwide","${url1}","${url2}"
"everest-prime","${url1}","${url2}"
"##ihc-group","${url1}","${url2}"
"life-shield","${url1}","${url2}"
"companion-protect","${url1}","${url2}"
"##hcc-advantage","${url1}","${url2}"
"##hcc-flexible","${url1}","${url2}"
"##hcc-life","${url1}","${url2}"
"national-general","${url1}","${url2}"
"standard-life-select","${url1}","${url2}"
"##united-health","${url1}","${url2}"
"advanthealth","${url1}","${url2}"
