"state","state1","zipcode","age","DOB","HII_P"
"Alabama","AL","35215","30","03/06/1985","${HII_P}"
"Alabama","AL","36310","30","03/06/1985","${HII_P}"
"##Alaska","AK","99504","30","03/06/1985","${HII_P}"
"##Alaska","AK","99615","30","03/06/1985","${HII_P}"
"##Arkansas","AR","72209","30","03/06/1985","${HII_P}"
"##Arkansas","AR","71820","30","03/06/1985","${HII_P}"
"##Arkansas","AR","72134","30","03/06/1985","${HII_P}"
"Arizona","AZ","85364","30","03/06/1985","${HII_P}"
"##California","CA","90011","30","03/06/1985","${HII_P}"
"##California","CA","91301","30","03/06/1985","${HII_P}"
"##California","CA","93064","30","03/06/1985","${HII_P}"
"##California","CA","93117","30","03/06/1985","${HII_P}"
"##California","CA","96161","30","03/06/1985","${HII_P}"
"##Colorado","CO","80219","30","03/06/1985","${HII_P}"
"##Connecticut","CT","06606","30","03/06/1985","${HII_P}"
"##Delaware","DE","19805","30","03/06/1985","${HII_P}"
"DC","DC","20015","30","03/06/1985","${HII_P}"
"Florida","FL","33186","30","03/06/1985","${HII_P}"
"Florida","FL","33336","30","03/06/1985","${HII_P}"
"Florida","FL","32080","30","03/06/1985","${HII_P}"
"Florida","FL","32320","30","03/06/1985","${HII_P}"
"##Georgia","GA","30044","30","03/06/1985","${HII_P}"
"##Georgia","GA","31106","30","03/06/1985","${HII_P}"
"##Georgia","GA","30413","30","03/06/1985","${HII_P}"
"##Georgia","GA","31605","30","03/06/1985","${HII_P}"
"##Hawaii","HI","96818","30","03/06/1985","${HII_P}"
"Iowa","IA","50317","30","03/06/1985","${HII_P}"
"Iowa","IA","50003","30","03/06/1985","${HII_P}"
"##Idaho","ID","83709","30","03/06/1985","${HII_P}"
"Illinois","IL","60629","30","03/06/1985","${HII_P}"
"Illinois","IL","60712","30","03/06/1985","${HII_P}"
"Illinois","IL","61111","30","03/06/1985","${HII_P}"
"Illinois","IL","60949","30","03/06/1985","${HII_P}"
"##Indiana","IN","46227","30","03/06/1985","${HII_P}"
"##Indiana","IN","46406","30","03/06/1985","${HII_P}"
"##Indiana","IN","46761","30","03/06/1985","${HII_P}"
"##Kansas","KS","66062","30","03/06/1985","${HII_P}"
"##Kansas","KS","66111","30","03/06/1985","${HII_P}"
"##Kentucky","KY","40214","30","03/06/1985","${HII_P}"
"##Kentucky","KY","41267","30","03/06/1985","${HII_P}"
"##Kentucky","KY","40621","30","03/06/1985","${HII_P}"
"##Kentucky","KY","41031","30","03/06/1985","${HII_P}"
"##Kentucky","KY","42045","30","03/06/1985","${HII_P}"
"##Louisiana","LA","70816","30","03/06/1985","${HII_P}"
"##Louisiana","LA","71037","30","03/06/1985","${HII_P}"
"##Massachusetts","MA","02128","30","03/06/1985","${HII_P}"
"##Maryland","MD","21215","30","03/06/1985","${HII_P}"
"##Maryland","MD","20606","30","03/06/1985","${HII_P}"
"##Maine","ME","04401","30","03/06/1985","${HII_P}"
"##Michigan","MI","48228","30","03/06/1985","${HII_P}"
"##Michigan","MI","48101","30","03/06/1985","${HII_P}"
"##Michigan","MI","48401","30","03/06/1985","${HII_P}"
"##Michigan","MI","48663","30","03/06/1985","${HII_P}"
"##Minnesota","MN","55106","30","03/06/1985","${HII_P}"
"##Minnesota","MN","55001","30","03/06/1985","${HII_P}"
"##Missouri","MO","63129","30","03/06/1985","${HII_P}"
"##Missouri","MO","64117","30","03/06/1985","${HII_P}"
"Mississippi","MS","39503","30","03/06/1985","${HII_P}"
"##Montana","MT","59102","30","03/06/1985","${HII_P}"
"##North Carolina","NC","28269","30","03/06/1985","${HII_P}"
"##North Carolina","NC","27006","30","03/06/1985","${HII_P}"
"##North Dakota","ND","58103","30","03/06/1985","${HII_P}"
"Nebraska","NE","68104","30","03/06/1985","${HII_P}"
"Nebraska","NE","68001","30","03/06/1985","${HII_P}"
"##New Hampshire","NH","03103","30","03/06/1985","${HII_P}"
"##New Jersey","NJ","08701","30","03/06/1985","${HII_P}"
"##New Mexico","NM","87121","30","03/06/1985","${HII_P}"
"##New Mexico","NM","87006","30","03/06/1985","${HII_P}"
"##Nevada","NV","89110","30","03/06/1985","${HII_P}"
"##New York","NY","11226","30","03/06/1985","${HII_P}"
"Ohio","OH","43228","30","03/06/1985","${HII_P}"
"Ohio","OH","44140","30","03/06/1985","${HII_P}"
"Ohio","OH","43004","30","03/06/1985","${HII_P}"
"Oklahoma","OK","73160","30","03/06/1985","${HII_P}"
"##Oregon","OR","97229","30","03/06/1985","${HII_P}"
"##Oregon","OR","97006","30","03/06/1985","${HII_P}"
"Pennsylvania","PA","19120","30","03/06/1985","${HII_P}"
"Pennsylvania","PA","15101","30","03/06/1985","${HII_P}"
"Pennsylvania","PA","15003","30","03/06/1985","${HII_P}"
"Pennsylvania","PA","15821","30","03/06/1985","${HII_P}"
"##Rhode Island","RI","02909","30","03/06/1985","${HII_P}"
"##South Carolina","SC","29223","30","03/06/1985","${HII_P}"
"##South Dakota","SD","57106","30","03/06/1985","${HII_P}"
"##South Dakota","SD","57001","30","03/06/1985","${HII_P}"
"Tennessee","TN","37013","30","03/06/1985","${HII_P}"
"Tennessee","TN","37214","30","03/06/1985","${HII_P}"
"Texas","TX","79936","30","03/06/1985","${HII_P}"
"Texas","TX","77079","30","03/06/1985","${HII_P}"
"Texas","TX","75001","30","03/06/1985","${HII_P}"
"##Utah","UT","84120","30","03/06/1985","${HII_P}"
"Virginia","VA","23464","30","03/06/1985","${HII_P}"
"Virginia","VA","20186","30","03/06/1985","${HII_P}"
"##Vermont","VT","05401","30","03/06/1985","${HII_P}"
"##Washington","WA","98115","30","03/06/1985","${HII_P}"
"Wisconsin","WI","53215","30","03/06/1985","${HII_P}"
"Wisconsin","WI","53001","30","03/06/1985","${HII_P}"
"##West Virginia","WV","25302","30","03/06/1985","${HII_P}"
"##West Virginia","WV","24701","30","03/06/1985","${HII_P}"
"Wyoming","WY","82001","30","03/06/1985","${HII_P}"
