"state","state1","zip","provider","planname","uri","quote_P","confirm_P","DOB"
"Alabama","AL","35215","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Alabama","AL","36310","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Alaska","AK","99504","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Arkansas","AR","72209","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Arizona","AZ","85364","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##California","CA","90011","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Colorado","CO","80219","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Connecticut","CT","06606","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Delaware","DE","19805","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##DC","DC","20015","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Florida","FL","33186","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Florida","FL","33572","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Georgia","GA","30044","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Georgia","GA","30450","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Hawaii","HI","96818","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Iowa","IA","50317","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Idaho","ID","83709","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Illinois","IL","60629","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Illinois","IL","60910","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Indiana","IN","46227","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Kansas","KS","66062","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Kentucky","KY","40214","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Louisiana","LA","70816","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Massachusetts","MA","02128","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Maryland","MD","21215","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Maine","ME","04401","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Michigan","MI","48228","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Michigan","MI","49610","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Minnesota","MN","55106","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Missouri","MO","63129","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Mississippi","MS","39503","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Montana","MT","59102","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##North Carolina","NC","28269","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##North Dakota","ND","58103","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Nebraska","NE","68104","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##New Hampshire","NH","03103","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##New Jersey","NJ","08701","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##New Mexico","NM","87121","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Nevada","NV","89110","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##New York","NY","11226","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Ohio","OH","43228","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Oklahoma","OK","73160","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Oregon","OR","97229","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Pennsylvania","PA","19120","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
"##Pennsylvania","PA","15069","HCC Flexible","${planname}","${uri}","${quote_P}","${review_P}","12/21/1969"
