"state","zipcode","url"
"AK","99701","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-AK-20-5000"
"AL","35201","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-AL-20-5000"
"AR","72651","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-AR-20-5000"
"AZ","85001","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-AZ-20-5000"
"CA","90010","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-CA-20-5000"
"CO","80002","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-CO-20-5000"
"CT","6063","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-CT-20-5000"
"DE","19701","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-DE-20-5000"
"FL","32099","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-FL-20-5000"
"GA","30301","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-GA-20-5000"
"HI","96801","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-HI-20-5000"
"IA","51529","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-IA-20-5000"
"ID","83616","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-ID-20-5000"
"IL","60601","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-IL-20-5000"
"IN","46201","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-IN-20-5000"
"KS","67736","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-KS-20-5000"
"KY","42022","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-KY-20-5000"
"LA","70112","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-LA-20-5000"
"MA","1810","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MA-20-5000"
"MD","21401","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MD-20-5000"
"ME","48005","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-ME-20-5000"
"MI","49908","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MI-20-5000"
"MO","64476","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MO-20-5000"
"MS","38720","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MS-20-5000"
"MT","59724","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-MT-20-5000"
"NC","27239","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NC-20-5000"
"ND","58563","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-ND-20-5000"
"NE","68046","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NE-20-5000"
"NH","3241","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NH-20-5000"
"NJ","10964","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NJ-20-5000"
"NM","87008","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NM-20-5000"
"NV","89101","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NV-20-5000"
"NY","10001","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-NY-20-5000"
"OH","45201","http://praetemptatus.agilehealthinsurance.com/term-health-insurance/disclaimers/hccflexible-OH-20-5000"
