"state","state1","zipcode","PlanName","Text1","Text2"
"Alabama","AL","35215","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 30 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Alaska","AK","99504","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 31 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 13 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Arkansas","AR","72209","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 32 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 14 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Arizona","AZ","85364","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 33 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 15 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##California","CA","90011","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 34 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 16 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Colorado","CO","80219","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 35 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 17 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Connecticut","CT","06606","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 36 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 18 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Delaware","DE","19805","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 37 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 19 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##District Of Columbia","DC","20015","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 38 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 20 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Florida","FL","33186","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 39 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 21 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Georgia","GA","30044","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 40 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 22 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Hawaii","HI","96818","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 41 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 23 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Iowa","IA","50317","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 42 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 24 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Idaho","ID","83709","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 43 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 25 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Illinois","IL","60629","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 44 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 26 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Indiana","IN","46227","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 45 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 27 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Kansas","KS","66062","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 46 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 28 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
"##Kentucky","KY","40214","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 47 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued","This is a brief summary of Legion Limited Medical underwritten by AXIS Insurance Company. Provided by form number T-GHI-002-0713-NE. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 29 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details."
