state,zipcode,carrierid,planname,General Disclaimers,ACA TAX,Consent to Electronic Transactions,Fraud Warning
AL,35215,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##AK,99504,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##AR,72209,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##AZ,85364,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##CA,90011,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##CO,80219,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##CT,6606,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##DE,19805,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##DC,20015,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
FL,33186,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##GA,30044,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##HI,96818,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##IA,50317,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##ID,83709,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
IL,60629,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##IN,46227,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##KS,66062,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##KY,40214,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##LA,70816,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##MA,2128,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##MD,21215,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##ME,4401,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##MI,48228,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
MN,55106,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##MO,63129,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##MS,39503,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##MT,59102,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
NC,28269,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##ND,58103,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##NE,68104,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##NH,3103,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##NJ,8701,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##NM,87121,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##NV,89110,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##NY,11226,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##OH,43228,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##OK,73160,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##OR,97229,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##PA,19120,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##RI,2909,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##SC,29223,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##SD,57106,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##TN,37230,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##TX,79936,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##UT,84120,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##VA,23464,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##VT,5401,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
WA,98115,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##WI,53215,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##WV,25302,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
##WY,82001,carrier-everest-,${planname},${GeneralDisclaimers},${ACATAX},${CET},${FW}
