<<<<<<< HEAD
"state","state1","zipcode","PlanName","Text1"
"Alabama","AL","35215","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Alaska","AK","99504","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Arkansas","AR","72209","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Arizona","AZ","85364","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##California","CA","90011","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Colorado","CO","80219","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Connecticut","CT","06606","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Delaware","DE","19805","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##District Of Columbia","DC","20015","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Florida","FL","33186","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Georgia","GA","30044","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Hawaii","HI","96818","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Iowa","IA","50317","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Idaho","ID","83709","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Illinois","IL","60629","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Indiana","IN","46227","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Kansas","KS","66062","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Kentucky","KY","40214","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Louisiana","LA","70816","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Massachusetts","MA","02128","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Maryland","MD","21215","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Maine","ME","04401","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Michigan","MI","48228","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Minnesota","MN","55106","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Missouri","MO","63129","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Mississippi","MS","39503","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Montana","MT","59102","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##North Carolina","NC","28269","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##North Dakota","ND","58103","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Nebraska","NE","68104","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##New Hampshire","NH","03103","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##New Jersey","NJ","08701","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##New Mexico","NM","87121","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Nevada","NV","89110","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##New York","NY","11226","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Ohio","OH","43228","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Oklahoma","OK","73160","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Oregon","OR","97229","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Pennsylvania","PA","19120","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Rhode Island","RI","02909","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##South Carolina","SC","29223","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##South Dakota","SD","57106","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Tennessee","TN","37013","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Texas","TX","79936","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Utah","UT","84120","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Virginia","VA","23464","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Vermont","VT","05401","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Washington","WA","98115","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Wisconsin","WI","53215","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##West Virginia","WV","25302","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
"##Wyoming","WY","82001","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage."
=======
"state","state1","zipcode","PlanName","Text1","Text2"
"Alabama","AL","35215","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Alaska","AK","99504","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Arkansas","AR","72209","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 12 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Arizona","AZ","85364","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 13 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"California","CA","90011","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 14 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Colorado","CO","80219","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 15 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Connecticut","CT","06606","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 16 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Delaware","DE","19805","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 17 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"District Of Columbia","DC","20015","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 18 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Florida","FL","33186","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 19 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Georgia","GA","30044","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 20 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
"Hawaii","HI","96818","Fixed Cash Benefit","This is limited benefit health insurance coverage. It is not major medical coverage and it is not intended to replace other major medical coverage.","This is a brief summary of Limited Benefit Health Insurance underwritten by Standard Life and Accident Insurance Company. Provided by Policy Form Series SL-MS0414-P. Not available in all jurisdictions. Pre-existing conditions are not covered for the first 21 months and benefits are subject to the policy limitations and exclusions. Refer to the policy, certificate and riders for complete details. THIS IS NOT A MEDICARE SUPPLEMENT POLICY. If any Covered Person is eligible for Medicare, such person should review the ""Guide to Health Insurance for People with Medicare"" available from the Company."
