state,zipcode,carrierid,planname,General Disclaimers,ACA TAX,IHC Group General Specific Disclaimers,Payment authorization,FRAUD WARNING,ACKNOWLEDGEMENTS,Consent to Electronic Transactions
##AL,35215,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##AK,99504,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##AR,72209,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##AZ,85364,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
CA,90011,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##CO,80219,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##CT,6606,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##DE,19805,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##DC,20015,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##FL,33186,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##GA,30044,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##HI,96818,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##IA,50317,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##ID,83709,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##IL,60629,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##IN,46227,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##KS,66062,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##KY,40214,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##LA,70816,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MA,2128,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MD,21215,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##ME,4401,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MI,48228,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MN,55106,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MO,63129,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MS,39503,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##MT,59102,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NC,28269,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##ND,58103,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NE,68104,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NH,3103,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NJ,8701,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NM,87121,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NV,89110,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##NY,11226,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##OH,43228,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##OK,73160,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##OR,97229,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##PA,19120,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##RI,2909,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##SC,29223,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##SD,57106,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##TN,37230,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##TX,79936,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
##UT,84120,ihc,${planname},${GeneralDisclaimers},${ACATAX},${IHCGD},{IHCPA},{IHCFW},{IHCACKNOWLEDGEMENTS},${IHCCET}
