"state","zipcode","carrierid","uri","AutoEmail","status"
"AL","35215","lifeshield","${uri}","${AutoEmail}","${status}"
"##AK","99504","lifeshield","${uri}","${AutoEmail}","${status}"
"AR","72209","lifeshield","${uri}","${AutoEmail}","${status}"
"AZ","85364","lifeshield","${uri}","${AutoEmail}","${status}"
"##CA","90011","lifeshield","${uri}","${AutoEmail}","${status}"
"##CO","80219","lifeshield","${uri}","${AutoEmail}","${status}"
"##CT","06606","lifeshield","${uri}","${AutoEmail}","${status}"
"DE","19805","lifeshield","${uri}","${AutoEmail}","${status}"
"DC","20015","lifeshield","${uri}","${AutoEmail}","${status}"
"FL","33186","lifeshield","${uri}","${AutoEmail}","${status}"
"##GA","30044","lifeshield","${uri}","${AutoEmail}","${status}"
"##HI","96818","lifeshield","${uri}","${AutoEmail}","${status}"
"IA","50317","lifeshield","${uri}","${AutoEmail}","${status}"
"##ID","83709","lifeshield","${uri}","${AutoEmail}","${status}"
"IL","60629","lifeshield","${uri}","${AutoEmail}","${status}"
"##IN","46227","lifeshield","${uri}","${AutoEmail}","${status}"
"##KS","66062","lifeshield","${uri}","${AutoEmail}","${status}"
"##KY","40214","lifeshield","${uri}","${AutoEmail}","${status}"
"##LA","70816","lifeshield","${uri}","${AutoEmail}","${status}"
"##MA","02128","lifeshield","${uri}","${AutoEmail}","${status}"
"##MD","21215","lifeshield","${uri}","${AutoEmail}","${status}"
"##ME","04401","lifeshield","${uri}","${AutoEmail}","${status}"
"##MI","48228","lifeshield","${uri}","${AutoEmail}","${status}"
"MN","55106","lifeshield","${uri}","${AutoEmail}","${status}"
"MO","63129","lifeshield","${uri}","${AutoEmail}","${status}"
"MS","39503","lifeshield","${uri}","${AutoEmail}","${status}"
"##MT","59102","lifeshield","${uri}","${AutoEmail}","${status}"
"##NC","28269","lifeshield","${uri}","${AutoEmail}","${status}"
"ND","58103","lifeshield","${uri}","${AutoEmail}","${status}"
"##NE","68104","lifeshield","${uri}","${AutoEmail}","${status}"
"##NH","03103","lifeshield","${uri}","${AutoEmail}","${status}"
"##NJ","08701","lifeshield","${uri}","${AutoEmail}","${status}"
"##NM","87121","lifeshield","${uri}","${AutoEmail}","${status}"
"##NV","89110","lifeshield","${uri}","${AutoEmail}","${status}"
"##NY","11226","lifeshield","${uri}","${AutoEmail}","${status}"
"OH","43228","lifeshield","${uri}","${AutoEmail}","${status}"
"OK","73160","lifeshield","${uri}","${AutoEmail}","${status}"
"##OR","97229","lifeshield","${uri}","${AutoEmail}","${status}"
"PA","19120","lifeshield","${uri}","${AutoEmail}","${status}"
"##RI","02909","lifeshield","${uri}","${AutoEmail}","${status}"
"SC","29223","lifeshield","${uri}","${AutoEmail}","${status}"
"SD","57106","lifeshield","${uri}","${AutoEmail}","${status}"
"TN","37230","lifeshield","${uri}","${AutoEmail}","${status}"
"TX","79936","lifeshield","${uri}","${AutoEmail}","${status}"
"##UT","84120","lifeshield","${uri}","${AutoEmail}","${status}"
"VA","23464","lifeshield","${uri}","${AutoEmail}","${status}"
"##VT","05401","lifeshield","${uri}","${AutoEmail}","${status}"
"##WA","98115","lifeshield","${uri}","${AutoEmail}","${status}"
"##WI","53215","lifeshield","${uri}","${AutoEmail}","${status}"
"WV","25302","lifeshield","${uri}","${AutoEmail}","${status}"
"WY","82001","lifeshield","${uri}","${AutoEmail}","${status}"
