"state","zipcode","carrierid","FW","FWTitle","maxDuration","conNUM","acknowledgement"
"AL","35215","advanthealth","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution, fines or confinement in prison, or combination thereof.","FRAUD WARNING","36","6","You are selecting a 6 month policy term with an auto renewal option that will allow you to extend your coverage by 5 additional terms. Your benefit limits will reset with each 6 month term, but your deductible and coinsurance will only reset after each 12 months of continuous coverage, upon the beginning of your third and fifth policy terms. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional terms. Prices may change at the start of each new policy. You can cancel anytime."
"##AK","99504","carrier-slaico-","A person who knowingly and with intent to injure, defraud, or deceive an insurance company files a claim containing false, incomplete, or misleading information may be prosecuted under state law.","","","",""
"##AR","72209","advanthealth","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application is guilty of a crime and may be subject to fines and confinement in prison.","FRAUD WARNING FOR ARKANSAS","","",""
"AZ","85364","advanthealth","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","FRAUD WARNING","12","2","You are selecting a 6 month policy term with an auto renewal option that will allow you to extend your coverage by 1 additional term. Your benefit limits will reset with each 6 month term, but your deductible and coinsurance will only reset after each 12 months of continuous coverage. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional term. Prices may change at the start of each new policy. You can cancel anytime."
"##CA","90011","carrier-slaico-","Any person who knowingly presents a false or fraudulent claim for the payment of a loss is guilty of a crime and may be subject to fines and confinement in state prison.","","","",""
"##CO","80219","carrier-slaico-","${FW}","","","",""
"##CT","6606","carrier-slaico-","${FW}","","","",""
"##DE","19805","carrier-slaico-","${FW}","","","",""
"##DC","20015","carrier-slaico-","${FW}","","","",""
"##FL","33186","carrier-slaico-","${FW}","","","",""
"##GA","30044","carrier-slaico-","${FW}","","","",""
"##HI","96818","carrier-slaico-","${FW}","","","",""
"##IA","50317","carrier-slaico-","${FW}","","","",""
"##ID","83709","carrier-slaico-","${FW}","","","",""
"##IL","60629","slaico","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance may be guilty of a crime and may be subject to fines and confinement in prison.","FRAUD WARNING","","",""
"##IN","46227","carrier-slaico-","${FW}","","","",""
"##KS","66062","carrier-slaico-","${FW}","","","",""
"##KY","40214","advanthealth","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance containing any materially false information or conceals, for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime.","FRAUD WARNING","","",""
"##LA","70816","carrier-slaico-","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison.","","","",""
"##MA","2128","carrier-slaico-","${FW}","","","",""
"##MD","21215","carrier-slaico-","${FW}","","","",""
"##ME","4401","carrier-slaico-","${FW}","","","",""
"##MI","48228","carrier-slaico-","${FW}","","","",""
"##MN","55106","carrier-slaico-","${FW}","","","",""
