"state","zipcode","productId","carrierid","planname","maxDuration","conNUM","acknowledgement"
"AL","35215","lifeshield-flex","lifeshield","${planname}","36","3","You are selecting a 12 month policy term with an auto reapply option that will allow you to extend your coverage by 2 additional terms. Your deductible and coinsurance and all benefit limits will reset with each policy term. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional terms. Prices may change at the start of each new policy. You can cancel anytime."
"##AK","99504","","carrier-lifeshieldt-","${planname}","","",""
"##AR","72209","","carrier-everest-","${planname}","","",""
"AZ","85364","lifeshield-flex","lifeshield","${planname}","12","2","You are selecting a 6 month policy term with an auto reapply option that will allow you to extend your coverage by 1 additional term. Your deductible and coinsurance and all benefit limits will reset with each policy term. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional term. Prices may change at the start of each new policy. You can cancel anytime."
"##CA","90011","","carrier-everest-","${planname}","","",""
"##CO","80219","","carrier-everest-","${planname}","","",""
"##CT","6606","","carrier-everest-","${planname}","","",""
"##DE","19805","","carrier-everest-","${planname}","","",""
"##DC","20015","","carrier-everest-","${planname}","","",""
"##FL","33186","","carrier-everest-","${planname}","","",""
"##GA","30044","","carrier-everest-","${planname}","","",""
"##HI","96818","","carrier-everest-","${planname}","","",""
"##IA","50317","","carrier-everest-","${planname}","","",""
"##ID","83709","","carrier-everest-","${planname}","","",""
"##IL","60629","","carrier-everest-","${planname}","","",""
"##IN","46227","","carrier-everest-","${planname}","","",""
"##KS","66062","","carrier-everest-","${planname}","","",""
"##KY","40214","","carrier-everest-","${planname}","","",""
"##LA","70816","","carrier-everest-","${planname}","","",""
"##MA","2128","","carrier-everest-","${planname}","","",""
"##MD","21215","","carrier-everest-","${planname}","","",""
"##ME","4401","","carrier-everest-","${planname}","","",""
"##MI","48228","","carrier-everest-","${planname}","","",""
"##MN","55106","","carrier-everest-","${planname}","","",""
"##MO","63129","","carrier-everest-","${planname}","","",""
"##MS","39503","","carrier-everest-","${planname}","","",""
"##MT","59102","","carrier-everest-","${planname}","","",""
"##NC","28269","","carrier-everest-","${planname}","","",""
"##ND","58103","","carrier-everest-","${planname}","","",""
"##NE","68104","","carrier-everest-","${planname}","","",""
"##NH","3103","","carrier-everest-","${planname}","","",""
"##NJ","8701","","carrier-everest-","${planname}","","",""
"##NM","87121","","carrier-everest-","${planname}","","",""
"##NV","89110","","carrier-everest-","${planname}","","",""
"##NY","11226","","carrier-everest-","${planname}","","",""
"##OH","43228","","carrier-everest-","${planname}","","",""
"##OK","73160","","carrier-everest-","${planname}","","",""
"##OR","97229","","carrier-everest-","${planname}","","",""
"##PA","19120","","carrier-everest-","${planname}","","",""
"##RI","2909","","carrier-everest-","${planname}","","",""
"SC","29223","lifeshield-flex","lifeshield","${planname}","33","3","You are selecting a 11 month policy term with an auto reapply option that will allow you to extend your coverage by 2 additional terms. Your deductible and coinsurance and all benefit limits will reset with each policy term. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional terms. Prices may change at the start of each new policy. You can cancel anytime."
"##SD","57106","","carrier-everest-","${planname}","","",""
"##TN","37230","","carrier-everest-","${planname}","","",""
"TX","79936","lifeshield-flex","lifeshield","${planname}","36","3","You are selecting a 12 month policy term with an auto reapply option that will allow you to extend your coverage by 2 additional terms. Your deductible and coinsurance and all benefit limits will reset with each policy term. If you have not selected the Pre-Existing Conditions Waiver or if the Waiver is not available for your plan, then medical conditions developed during your prior term may not be covered by your additional terms. Prices may change at the start of each new policy. You can cancel anytime."
"##UT","84120","","carrier-everest-","${planname}","","",""
"##VA","23464","","carrier-everest-","${planname}","","",""
"##VT","5401","","carrier-everest-","${planname}","","",""
"##WA","98115","","carrier-everest-","${planname}","","",""
"##WI","53215","","carrier-everest-","${planname}","","",""
"##WV","25302","","carrier-everest-","${planname}","","",""
"##WY","82001","","carrier-everest-","${planname}","","",""
