"state","zipcode","carrierid","planname","productId","maxDuration","conNUM"
"##AL","35215","nationalgeneral","${planname}","","",""
"##AK","99504","nationalgeneral","${planname}","","",""
"##AR","72209","nationalgeneral","${planname}","","",""
"##AZ","85364","nationalgeneral","${planname}","national-general-short-term-medical","12","2"
"##CA","90011","nationalgeneral","${planname}","","",""
"##CO","80219","nationalgeneral","${planname}","national-general-short-term-medical","12","2"
"##CT","6606","nationalgeneral","${planname}","","",""
"##DE","19805","nationalgeneral","${planname}","","",""
"##DC","20015","nationalgeneral","${planname}","","",""
"##FL","33186","nationalgeneral","${planname}","","",""
"##GA","30044","nationalgeneral","${planname}","","",""
"##HI","96818","nationalgeneral","${planname}","","",""
"##IA","50317","nationalgeneral","${planname}","","",""
"##ID","83709","nationalgeneral","${planname}","","",""
"##IL","60629","nationalgeneral","${planname}","national-general-short-term-medical","",""
"##IN","46227","nationalgeneral","${planname}","","",""
"##KS","66062","nationalgeneral","${planname}","national-general-short-term-medical","12","2"
"##KY","40214","nationalgeneral","${planname}","","",""
"##LA","70816","nationalgeneral","${planname}","","",""
"##MA","2128","nationalgeneral","${planname}","","",""
"##MD","21215","nationalgeneral","${planname}","","",""
"##ME","4401","nationalgeneral","${planname}","","",""
"##MI","48228","nationalgeneral","${planname}","","",""
"##MN","55106","nationalgeneral","${planname}","","",""
"MO","63129","nationalgeneral","${planname}","national-general-short-term-medical","12","2"
"##MS","39503","nationalgeneral","${planname}","","",""
"##MT","59102","nationalgeneral","${planname}","","",""
"##NC","28269","nationalgeneral","${planname}","","",""
"##ND","58103","nationalgeneral","${planname}","","",""
"##NE","68104","nationalgeneral","${planname}","","",""
"##NH","3103","nationalgeneral","${planname}","","",""
"##NJ","8701","nationalgeneral","${planname}","","",""
"##NM","87121","nationalgeneral","${planname}","","",""
"##NV","89110","nationalgeneral","${planname}","","",""
"##NY","11226","nationalgeneral","${planname}","","",""
"##OH","43228","nationalgeneral","${planname}","","",""
"##OK","73160","nationalgeneral","${planname}","","",""
"##OR","97229","nationalgeneral","${planname}","","",""
"##PA","19120","nationalgeneral","${planname}","","",""
"##RI","2909","nationalgeneral","${planname}","","",""
"##SC","29223","nationalgeneral","${planname}","","",""
"##SD","57106","nationalgeneral","${planname}","","",""
"##TN","37230","nationalgeneral","${planname}","","",""
"##TX","79936","nationalgeneral","${planname}","","",""
"##UT","84120","nationalgeneral","${planname}","","",""
"##VA","23464","nationalgeneral","${planname}","","",""
"##VT","5401","nationalgeneral","${planname}","","",""
"##WA","98115","nationalgeneral","${planname}","","",""
"##WI","53215","nationalgeneral","${planname}","","",""
"##WV","25302","nationalgeneral","${planname}","","",""
"##WY","82001","nationalgeneral","${planname}","","",""
