"state","state1","zipcode","PlanName","Text1","Text2"
"##Alabama","AL","35215","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Alaska","AK","99504","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Arkansas","AR","72209","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Arizona","AZ","85364","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##California","CA","90011","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Colorado","CO","80219","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Connecticut","CT","06606","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Delaware","DE","19805","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##District Of Columbia","DC","20015","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Florida","FL","33186","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Georgia","GA","30044","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Hawaii","HI","96818","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Iowa","IA","50317","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Idaho","ID","83709","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"Illinois","IL","60629","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Indiana","IN","46227","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Kansas","KS","66062","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Kentucky","KY","40214","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Louisiana","LA","70816","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Massachusetts","MA","02128","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Maryland","MD","21215","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Maine","ME","04401","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Michigan","MI","48228","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Minnesota","MN","55106","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Missouri","MO","63129","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Mississippi","MS","39503","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Montana","MT","59102","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##North Carolina","NC","28269","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##North Dakota","ND","58103","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Nebraska","NE","68104","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##New Hampshire","NH","03103","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##New Jersey","NJ","08701","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##New Mexico","NM","87121","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Nevada","NV","89110","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##New York","NY","11226","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Ohio","OH","43228","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Oklahoma","OK","73160","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Oregon","OR","97229","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Pennsylvania","PA","19120","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Rhode Island","RI","02909","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##South Carolina","SC","29223","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##South Dakota","SD","57106","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Tennessee","TN","37013","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Texas","TX","79936","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Utah","UT","84120","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
"##Virginia","VA","23464","Agile Secure","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions.","Med-Sense Guaranteed Association, Guarantee Trust Life Insurance Company and Federal Insurance Company, a Chubb Company, are separate legal entities and have sole financial responsibility for their own products."
