"state","state1","zipcode","PlanName","Text1"
"##Alabama","AL","35215","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 30 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Alaska","AK","99504","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 31 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Arkansas","AR","72209","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 32 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"Arizona","AZ","85364","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 33 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##California","CA","90011","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 34 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Colorado","CO","80219","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 35 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Connecticut","CT","6606","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 36 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Delaware","DE","19805","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 37 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##District Of Columbia","DC","20015","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 38 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Florida","FL","33186","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 39 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Georgia","GA","30044","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 40 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Hawaii","HI","96818","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 41 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Iowa","IA","50317","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 42 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Idaho","ID","83709","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 43 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Illinois","IL","60629","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 44 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Indiana","IN","46227","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 45 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Kansas","KS","66062","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 46 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Kentucky","KY","40214","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 47 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"Louisiana","LA","70816","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 48 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"Massachusetts","MA","02128","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 49 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Maryland","MD","21215","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 50 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Maine","ME","4401","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 51 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Michigan","MI","48228","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 52 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Minnesota","MN","55106","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 53 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Missouri","MO","63129","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 54 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Mississippi","MS","39503","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 55 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Montana","MT","59102","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 56 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##North Carolina","NC","28269","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 57 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##North Dakota","ND","58103","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 58 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##Nebraska","NE","68104","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 59 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
"##New Hampshire","NH","3103","Legion Limited Medical","The Certificate issued to each Insured Person can be returned for any reason within 60 days after it is received by the Insured Person. Any premium paid will be refunded and the Certificate will be treated as if it were never issued"
