"state","zipcode","carrierid","uri","FW","DTFW","productId"
"AL","35215","lifeshield","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","lifeshield-flex"
"##AK","99504","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##AR","72209","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##AZ","85364","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##CA","90011","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##CO","80219","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##CT","06606","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##DE","19805","lifeshield","${uri}","","",""
"##DC","20015","lifeshield","${uri}","","",""
"##FL","33186","lifeshield","${uri}","","",""
"##GA","30044","lifeshield","${uri}","","",""
"##HI","96818","lifeshield","${uri}","","",""
"##IA","50317","lifeshield","${uri}","","",""
"##ID","83709","lifeshield","${uri}","","",""
"##IL","60629","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","Any person who knowingly and with intent to defraud any insurance company or other person, files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and/or civil penalties.",""
"##IN","46227","lifeshield","${uri}","","",""
"##KS","66062","lifeshield","${uri}","","",""
"##KY","40214","lifeshield","${uri}","","",""
"##LA","70816","lifeshield","${uri}","","",""
"##MA","02128","lifeshield","${uri}","","",""
"##MD","21215","lifeshield","${uri}","","",""
"##ME","04401","lifeshield","${uri}","","",""
"##MI","48228","lifeshield","${uri}","","",""
"##MN","55106","lifeshield","${uri}","","",""
"##MO","63129","lifeshield","${uri}","","",""
"##MS","39503","lifeshield","${uri}","","",""
"##MT","59102","lifeshield","${uri}","","",""
"##NC","28269","lifeshield","${uri}","","",""
"##ND","58103","lifeshield","${uri}","","",""
"##NE","68104","lifeshield","${uri}","","",""
"##NH","03103","lifeshield","${uri}","","",""
"##NJ","08701","lifeshield","${uri}","","",""
"##NM","87121","lifeshield","${uri}","","",""
"##NV","89110","lifeshield","${uri}","","",""
"##NY","11226","lifeshield","${uri}","","",""
"##OH","43228","lifeshield","${uri}","","",""
"##OK","73160","lifeshield","${uri}","","",""
"##OR","97229","lifeshield","${uri}","","",""
"##PA","19120","lifeshield","${uri}","","",""
"##RI","02909","lifeshield","${uri}","","",""
"##SC","29223","lifeshield","${uri}","","",""
"##SD","57106","lifeshield","${uri}","","",""
"##TN","37230","lifeshield","${uri}","","",""
"##TX","79936","lifeshield","${uri}","","",""
"##UT","84120","lifeshield","${uri}","","",""
"##VA","23464","lifeshield","${uri}","","",""
"##VT","05401","lifeshield","${uri}","","",""
"##WA","98115","lifeshield","${uri}","","",""
"##WI","53215","lifeshield","${uri}","","",""
"##WV","25302","lifeshield","${uri}","","",""
"##WY","82001","lifeshield","${uri}","","",""
