"state","zipcode","carrierid","uri","FW","productId"
"##AL","35215","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof.",""
"##AK","99504","carrier-lifeshield-","${uri}","",""
"##AR","72209","carrier-lifeshield-","${uri}","",""
"##AZ","85364","carrier-lifeshield-","${uri}","",""
"##CA","90011","carrier-lifeshield-","${uri}","",""
"CO","80219","everest-one","${uri}","It is unlawful to knowingly provide false, incomplete or misleading facts or information to an insurance company for the purpose of defrauding or attempting to defraud the company. Penalties may include imprisonment, fines, denial of insurance and civil damages. Any insurance company or agent of an insurance company who knowingly provides false, incomplete, or misleading facts or information to a policy holder or claimant for the purpose of defrauding or attempting to defraud the policy holder or claimant with regard to a settlement or award payable from insurance proceeds shall be reported to the Colorado Division of Insurance within the Department of Regulatory agencies.","everest-stm"
"##CT","06606","carrier-lifeshield-","${uri}","",""
"##DE","19805","carrier-lifeshield-","${uri}","",""
"##DC","20015","lifeshield","${uri}","",""
"##FL","33186","lifeshield","${uri}","",""
"##GA","30044","lifeshield","${uri}","",""
"##HI","96818","lifeshield","${uri}","",""
"##IA","50317","lifeshield","${uri}","",""
"##ID","83709","lifeshield","${uri}","",""
"##IL","60629","carrier-lifeshield-","${uri}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.",""
"##IN","46227","lifeshield","${uri}","",""
"##KS","66062","lifeshield","${uri}","",""
"##KY","40214","lifeshield","${uri}","",""
"##LA","70816","lifeshield","${uri}","",""
"##MA","02128","lifeshield","${uri}","",""
"##MD","21215","lifeshield","${uri}","",""
"##ME","04401","lifeshield","${uri}","",""
"##MI","48228","lifeshield","${uri}","",""
"##MN","55106","lifeshield","${uri}","",""
"##MO","63129","everest-one","${uri}","It is unlawful to knowingly provide false, incomplete or misleading facts or information to an insurance company for the purpose of defrauding or attempting to defraud the company. Penalties may include imprisonment, fines, denial of insurance and civil damages. Any insurance company or agent of an insurance company who knowingly provides false, incomplete, or misleading facts or information to a policy holder or claimant for the purpose of defrauding or attempting to defraud the policy holder or claimant with regard to a settlement or award payable from insurance proceeds shall be reported to the Colorado Division of Insurance within the Department of Regulatory agencies.","everest-stm"
"##MS","39503","lifeshield","${uri}","",""
"##MT","59102","lifeshield","${uri}","",""
"##NC","28269","lifeshield","${uri}","",""
"##ND","58103","lifeshield","${uri}","",""
"##NE","68104","lifeshield","${uri}","",""
"##NH","03103","lifeshield","${uri}","",""
"##NJ","08701","lifeshield","${uri}","",""
"##NM","87121","lifeshield","${uri}","",""
"##NV","89110","lifeshield","${uri}","",""
"##NY","11226","lifeshield","${uri}","",""
"##OH","43228","lifeshield","${uri}","",""
"##OK","73160","lifeshield","${uri}","",""
"##OR","97229","lifeshield","${uri}","",""
"##PA","19120","lifeshield","${uri}","",""
"##RI","02909","lifeshield","${uri}","",""
"##SC","29223","lifeshield","${uri}","",""
"##SD","57106","lifeshield","${uri}","",""
"##TN","37230","lifeshield","${uri}","",""
"##TX","79936","lifeshield","${uri}","",""
"##UT","84120","lifeshield","${uri}","",""
"##VA","23464","lifeshield","${uri}","",""
"##VT","05401","lifeshield","${uri}","",""
"##WA","98115","lifeshield","${uri}","",""
"##WI","53215","lifeshield","${uri}","",""
"##WV","25302","lifeshield","${uri}","",""
"##WY","82001","lifeshield","${uri}","",""
