"state","zipcode","carrierid","planname","General Disclaimers","ACA TAX","Consent to Electronic Transactions","FW"
"AL","35215","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution fines or confinement in prison, or any combination thereof."
"##AK","99504","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##AR","72209","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##AZ","85364","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##CA","90011","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##CO","80219","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","It is unlawful to knowingly provide false, incomplete or misleading facts or information to an insurance company for the purpose of defrauding or attempting to defraud the company. Penalties may include imprisonment, fines, denial of insurance and civil damages. Any insurance company or agent of an insurance company who knowingly provides false, incomplete, or misleading facts or information to a policy holder or claimant for the purpose of defrauding or attempting to defraud the policy holder or claimant with regard to a settlement or award payable from insurance proceeds shall be reported to the Colorado Division of Insurance within the Department of Regulatory agencies."
"##CT","6606","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##DE","19805","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##DC","20015","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##FL","33186","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##GA","30044","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##HI","96818","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##IA","50317","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##ID","83709","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##IL","60629","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##IN","46227","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##KS","66062","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##KY","40214","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##LA","70816","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
"##MA","2128","carrier-everest-","${planname}","${GeneralDisclaimers}","${ACATAX}","${CET}","${FW}"
