"state","zipcode","carrierid","planname","General Disclaimers","ACA TAX","National General Specific Disclaimers","Consent to Electronic Transactions","productId"
"##AL","35215","nationalgeneral","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##AK","99504","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##AR","72209","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##AZ","85364","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##CA","90011","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##CO","80219","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##CT","6606","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##DE","19805","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##DC","20015","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"FL","33186","nationalgeneral","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}","national-general-short-term-medical"
"##GA","30044","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##HI","96818","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##IA","50317","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##ID","83709","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##IL","60629","nationalgeneral","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}","national-general-short-term-medical"
"##IN","46227","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##KS","66062","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##KY","40214","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##LA","70816","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MA","2128","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MD","21215","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##ME","4401","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MI","48228","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MN","55106","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MO","63129","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MS","39503","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##MT","59102","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NC","28269","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##ND","58103","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NE","68104","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NH","3103","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NJ","8701","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NM","87121","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NV","89110","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##NY","11226","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##OH","43228","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##OK","73160","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##OR","97229","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##PA","19120","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##RI","2909","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##SC","29223","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##SD","57106","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##TN","37230","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##TX","79936","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##UT","84120","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##VA","23464","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##VT","5401","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##WA","98115","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##WI","53215","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##WV","25302","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
"##WY","82001","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${NGGD}","${CET}",""
