"state","zipcode","carrierid","planname","General Disclaimers","ACA TAX","GRSD","Statements","productId"
"##AL","35215","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##AK","99504","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##AR","72209","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##AZ","85364","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##CA","90011","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##CO","80219","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##CT","6606","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##DE","19805","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##DC","20015","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##FL","33186","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##GA","30044","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##HI","96818","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##IA","50317","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##ID","83709","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##IL","60629","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGen5EPODisclaimer}","","short-term-medical-plus-select-a"
"##IN","46227","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"KS","66062","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGen5PPODisclaimer}","","short-term-medical-plus-select-a"
"##KY","40214","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##LA","70816","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MA","2128","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MD","21215","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##ME","4401","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MI","48228","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MN","55106","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MO","63129","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MS","39503","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##MT","59102","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NC","28269","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##ND","58103","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NE","68104","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NH","3103","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NJ","8701","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NM","87121","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NV","89110","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##NY","11226","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##OH","43228","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##OK","73160","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##OR","97229","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##PA","19120","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##RI","2909","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##SC","29223","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##SD","57106","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##TN","37230","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##TX","79936","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##UT","84120","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##VA","23464","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##VT","5401","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##WA","98115","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##WI","53215","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##WV","25302","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
"##WY","82001","unitedhealthone","${planname}","${GeneralDisclaimers}","${ACATAX}","${UHCGD}","",""
