"state","zipcode","provider","planname","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26"
"AL","35215","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"AK","99504","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"AR","72209","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"AZ","85364","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"CA","90011","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"CO","80219","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"CT","06606","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"DE","19805","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"DC","20015","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"FL","33186","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"GA","30044","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"HI","96818","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"IA","50317","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"ID","83709","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"IL","60629","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"IN","46227","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"KS","66062","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"KY","40214","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"LA","70816","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MA","02128","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MD","21215","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"ME","04401","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MI","48228","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MN","55106","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MO","63129","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MS","39503","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"MT","59102","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"NC","28269","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"ND","58103","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"NE","68104","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
"NH","03103","IHC Group","${planname}","${P1}","${P2}","${P3}","${P4}","${P5}","${P6}","${P7}","${P8}","${P9}","${P10}","${P11}","${P12}","${P13}","${P14}","${P15}","${P16}","${P17}","${P18}","${P19}","${P20}","${P21}","${P22}","${P23}","${P24}","${P25}","${P26}"
