<<<<<<< HEAD
"state","state1","zipcode","PlanName","Text1"
"Alabama","AL","35215","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Alaska","AK","99504","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Arkansas","AR","72209","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Arizona","AZ","85364","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##California","CA","90011","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Colorado","CO","80219","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Connecticut","CT","06606","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Delaware","DE","19805","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##District Of Columbia","DC","20015","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Florida","FL","33186","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Georgia","GA","30044","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Hawaii","HI","96818","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Iowa","IA","50317","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Idaho","ID","83709","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Illinois","IL","60629","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Indiana","IN","46227","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Kansas","KS","66062","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Kentucky","KY","40214","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Louisiana","LA","70816","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Massachusetts","MA","02128","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Maryland","MD","21215","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Maine","ME","04401","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Michigan","MI","48228","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Minnesota","MN","55106","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Missouri","MO","63129","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Mississippi","MS","39503","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Montana","MT","59102","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##North Carolina","NC","28269","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##North Dakota","ND","58103","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Nebraska","NE","68104","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New Hampshire","NH","03103","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New Jersey","NJ","08701","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New Mexico","NM","87121","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Nevada","NV","89110","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New York","NY","11226","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Ohio","OH","43228","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Oklahoma","OK","73160","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Oregon","OR","97229","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Pennsylvania","PA","19120","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Rhode Island","RI","02909","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##South Carolina","SC","29223","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##South Dakota","SD","57106","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Tennessee","TN","37013","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Texas","TX","79936","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Utah","UT","84120","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Virginia","VA","23464","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Vermont","VT","05401","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Washington","WA","98115","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Wisconsin","WI","53215","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##West Virginia","WV","25302","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Wyoming","WY","82001","Legion Limited Medical","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
=======
"state","state1","zipcode","PlanName"
"Alabama","AL","35215","Legion Limited Medical"
"Alaska","AK","99504","Legion Limited Medical"
"Arkansas","AR","72209","Legion Limited Medical"
"Arizona","AZ","85364","Legion Limited Medical"
"California","CA","90011","Legion Limited Medical"
"Colorado","CO","80219","Legion Limited Medical"
"Connecticut","CT","06606","Legion Limited Medical"
"Delaware","DE","19805","Legion Limited Medical"
"District Of Columbia","DC","20015","Legion Limited Medical"
"Florida","FL","33186","Legion Limited Medical"
"Georgia","GA","30044","Legion Limited Medical"
"Hawaii","HI","96818","Legion Limited Medical"
"Iowa","IA","50317","Legion Limited Medical"
"Idaho","ID","83709","Legion Limited Medical"
"Illinois","IL","60629","Legion Limited Medical"
"Indiana","IN","46227","Legion Limited Medical"
"Kansas","KS","66062","Legion Limited Medical"
"Kentucky","KY","40214","Legion Limited Medical"
"Louisiana","LA","70816","Legion Limited Medical"
"Massachusetts","MA","02128","Legion Limited Medical"
"Maryland","MD","21215","Legion Limited Medical"
"Maine","ME","04401","Legion Limited Medical"
"Michigan","MI","48228","Legion Limited Medical"
"Minnesota","MN","55106","Legion Limited Medical"
"Missouri","MO","63129","Legion Limited Medical"
"Mississippi","MS","39503","Legion Limited Medical"
"Montana","MT","59102","Legion Limited Medical"
"North Carolina","NC","28269","Legion Limited Medical"
"North Dakota","ND","58103","Legion Limited Medical"
"Nebraska","NE","68104","Legion Limited Medical"
"New Hampshire","NH","03103","Legion Limited Medical"
"New Jersey","NJ","08701","Legion Limited Medical"
"New Mexico","NM","87121","Legion Limited Medical"
"Nevada","NV","89110","Legion Limited Medical"
"New York","NY","11226","Legion Limited Medical"
"Ohio","OH","43228","Legion Limited Medical"
"Oklahoma","OK","73160","Legion Limited Medical"
"Oregon","OR","97229","Legion Limited Medical"
"Pennsylvania","PA","19120","Legion Limited Medical"
"Rhode Island","RI","02909","Legion Limited Medical"
"South Carolina","SC","29223","Legion Limited Medical"
"South Dakota","SD","57106","Legion Limited Medical"
"Tennessee","TN","37013","Legion Limited Medical"
"Texas","TX","79936","Legion Limited Medical"
"Utah","UT","84120","Legion Limited Medical"
"Virginia","VA","23464","Legion Limited Medical"
"Vermont","VT","05401","Legion Limited Medical"
"Washington","WA","98115","Legion Limited Medical"
"Wisconsin","WI","53215","Legion Limited Medical"
"West Virginia","WV","25302","Legion Limited Medical"
"Wyoming","WY","82001","Legion Limited Medical"
>>>>>>> 8a05f3a37730742b3f34731daadf3c4cef2c2df9
