<<<<<<< HEAD
"state","state1","zipcode","PlanName","Text1"
"Alabama","AL","35215","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Alaska","AK","99504","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Arkansas","AR","72209","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Arizona","AZ","85364","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##California","CA","90011","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Colorado","CO","80219","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Connecticut","CT","06606","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Delaware","DE","19805","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##District Of Columbia","DC","20015","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Florida","FL","33186","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Georgia","GA","30044","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Hawaii","HI","96818","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Iowa","IA","50317","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Idaho","ID","83709","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Illinois","IL","60629","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Indiana","IN","46227","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Kansas","KS","66062","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Kentucky","KY","40214","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Louisiana","LA","70816","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Massachusetts","MA","02128","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Maryland","MD","21215","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Maine","ME","04401","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Michigan","MI","48228","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Minnesota","MN","55106","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Missouri","MO","63129","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Mississippi","MS","39503","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Montana","MT","59102","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##North Carolina","NC","28269","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##North Dakota","ND","58103","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Nebraska","NE","68104","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New Hampshire","NH","03103","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New Jersey","NJ","08701","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New Mexico","NM","87121","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Nevada","NV","89110","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##New York","NY","11226","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Ohio","OH","43228","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Oklahoma","OK","73160","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Oregon","OR","97229","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Pennsylvania","PA","19120","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Rhode Island","RI","02909","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##South Carolina","SC","29223","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##South Dakota","SD","57106","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Tennessee","TN","37013","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Texas","TX","79936","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Utah","UT","84120","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Virginia","VA","23464","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Vermont","VT","05401","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Washington","WA","98115","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Wisconsin","WI","53215","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##West Virginia","WV","25302","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
"##Wyoming","WY","82001","Fixed Cash Benefit","Agile Secure and the bundle of products included in this membership are not major medical insurance and are not designed to replace the *minimum essential coverage* of the Affordable Care Act. It excludes benefits for pre-existing conditions."
=======
"state","state1","zipcode","PlanName"
"Alabama","AL","35215","Fixed Cash Benefit"
"Alaska","AK","99504","Fixed Cash Benefit"
"Arkansas","AR","72209","Fixed Cash Benefit"
"Arizona","AZ","85364","Fixed Cash Benefit"
"California","CA","90011","Fixed Cash Benefit"
"Colorado","CO","80219","Fixed Cash Benefit"
"Connecticut","CT","06606","Fixed Cash Benefit"
"Delaware","DE","19805","Fixed Cash Benefit"
"District Of Columbia","DC","20015","Fixed Cash Benefit"
"Florida","FL","33186","Fixed Cash Benefit"
"Georgia","GA","30044","Fixed Cash Benefit"
"Hawaii","HI","96818","Fixed Cash Benefit"
"Iowa","IA","50317","Fixed Cash Benefit"
"Idaho","ID","83709","Fixed Cash Benefit"
"Illinois","IL","60629","Fixed Cash Benefit"
"Indiana","IN","46227","Fixed Cash Benefit"
"Kansas","KS","66062","Fixed Cash Benefit"
"Kentucky","KY","40214","Fixed Cash Benefit"
"Louisiana","LA","70816","Fixed Cash Benefit"
"Massachusetts","MA","02128","Fixed Cash Benefit"
"Maryland","MD","21215","Fixed Cash Benefit"
"Maine","ME","04401","Fixed Cash Benefit"
"Michigan","MI","48228","Fixed Cash Benefit"
"Minnesota","MN","55106","Fixed Cash Benefit"
"Missouri","MO","63129","Fixed Cash Benefit"
"Mississippi","MS","39503","Fixed Cash Benefit"
"Montana","MT","59102","Fixed Cash Benefit"
"North Carolina","NC","28269","Fixed Cash Benefit"
"North Dakota","ND","58103","Fixed Cash Benefit"
"Nebraska","NE","68104","Fixed Cash Benefit"
"New Hampshire","NH","03103","Fixed Cash Benefit"
"New Jersey","NJ","08701","Fixed Cash Benefit"
"New Mexico","NM","87121","Fixed Cash Benefit"
"Nevada","NV","89110","Fixed Cash Benefit"
"New York","NY","11226","Fixed Cash Benefit"
"Ohio","OH","43228","Fixed Cash Benefit"
"Oklahoma","OK","73160","Fixed Cash Benefit"
"Oregon","OR","97229","Fixed Cash Benefit"
"Pennsylvania","PA","19120","Fixed Cash Benefit"
"Rhode Island","RI","02909","Fixed Cash Benefit"
"South Carolina","SC","29223","Fixed Cash Benefit"
"South Dakota","SD","57106","Fixed Cash Benefit"
"Tennessee","TN","37013","Fixed Cash Benefit"
"Texas","TX","79936","Fixed Cash Benefit"
"Utah","UT","84120","Fixed Cash Benefit"
"Virginia","VA","23464","Fixed Cash Benefit"
"Vermont","VT","05401","Fixed Cash Benefit"
"Washington","WA","98115","Fixed Cash Benefit"
"Wisconsin","WI","53215","Fixed Cash Benefit"
"West Virginia","WV","25302","Fixed Cash Benefit"
"Wyoming","WY","82001","Fixed Cash Benefit"
>>>>>>> 8a05f3a37730742b3f34731daadf3c4cef2c2df9
