"state","state1","zipcode","planUri","ACKNOWLEDGEMENTS"
"Alabama","AL","35215","nationalgeneral-al-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Alaska","AK","99504","nationalgeneral-ak-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Arkansas","AR","72209","nationalgeneral-ar-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Arizona","AZ","85364","nationalgeneral-az-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##California","CA","90011","nationalgeneral-ca-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Colorado","CO","80219","nationalgeneral-co-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Connecticut","CT","6606","nationalgeneral-ct-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Delaware","DE","19805","nationalgeneral-de-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"District Of Columbia","DC","20015","nationalgeneral-dc-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Florida","FL","33186","nationalgeneral-fl-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Georgia","GA","30044","nationalgeneral-ga-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Hawaii","HI","96818","nationalgeneral-hi-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Iowa","IA","50317","nationalgeneral-ia-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Idaho","ID","83709","nationalgeneral-id-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Illinois","IL","60629","nationalgeneral-il-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Kansas","KS","66062","nationalgeneral-ks-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Kentucky","KY","40214","nationalgeneral-ky-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Louisiana","LA","70816","nationalgeneral-la-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Massachusetts","MA","2128","nationalgeneral-ma-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Maryland","MD","21215","nationalgeneral-md-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Maine","ME","4401","nationalgeneral-me-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Michigan","MI","48228","nationalgeneral-mi-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Minnesota","MN","55106","nationalgeneral-mn-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Missouri","MO","63129","nationalgeneral-mo-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Mississippi","MS","39503","nationalgeneral-ms-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Montana","MT","59102","nationalgeneral-mt-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"North Carolina","NC","28269","nationalgeneral-nc-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"North Dakota","ND","58103","nationalgeneral-nd-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Nebraska","NE","68104","nationalgeneral-ne-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##New Hampshire","NH","3103","nationalgeneral-nh-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##New Jersey","NJ","8701","nationalgeneral-nj-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"New Mexico","NM","87121","nationalgeneral-nm-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Nevada","NV","89110","nationalgeneral-nv-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##New York","NY","11226","nationalgeneral-ny-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Ohio","OH","43228","nationalgeneral-oh-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Oklahoma","OK","73160","nationalgeneral-ok-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Oregon","OR","97229","nationalgeneral-or-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Pennsylvania","PA","19120","nationalgeneral-pa-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Rhode Island","RI","2909","nationalgeneral-ri-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"South Carolina","SC","29223","nationalgeneral-sc-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"South Dakota","SD","57106","nationalgeneral-sd-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Tennessee","TN","37013","nationalgeneral-tn-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Texas","TX","79936","nationalgeneral-tx-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Utah","UT","84120","nationalgeneral-ut-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Virginia","VA","23464","nationalgeneral-va-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Vermont","VT","5401","nationalgeneral-vt-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"##Washington","WA","98115","nationalgeneral-wa-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Wisconsin","WI","53215","nationalgeneral-wi-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"West Virginia","WV","25302","nationalgeneral-wv-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
"Wyoming","WY","82001","nationalgeneral-wy-5000-50-8750-250000","${ACKNOWLEDGEMENTS}"
