"state","state1","zipcode","planUri","FW","UNDERWRITING","AUTHORIZATION "
"Alabama","AL","35215","slaico-al-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Alaska","AK","99504","slaico-ak-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Arkansas","AR","72209","slaico-ar-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Arizona","AZ","85364","slaico-az-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##California","CA","90011","slaico-ca-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Colorado","CO","80219","slaico-co-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Connecticut","CT","6606","slaico-ct-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Delaware","DE","19805","slaico-de-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##District Of Columbia","DC","20015","slaico-dc-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Florida","FL","33186","slaico-fl-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Georgia","GA","30044","slaico-ga-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Hawaii","HI","96818","slaico-hi-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Iowa","IA","50317","slaico-ia-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Idaho","ID","83709","slaico-id-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Illinois","IL","60629","slaico-il-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Kansas","KS","66062","slaico-ks-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Kentucky","KY","40214","slaico-ky-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Louisiana","LA","70816","slaico-la-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Massachusetts","MA","2128","slaico-ma-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Maryland","MD","21215","slaico-md-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Maine","ME","4401","slaico-me-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Michigan","MI","48228","slaico-mi-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Minnesota","MN","55106","slaico-mn-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Missouri","MO","63129","slaico-mo-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Mississippi","MS","39503","slaico-ms-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Montana","MT","59102","slaico-mt-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##North Carolina","NC","28269","slaico-nc-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"North Dakota","ND","58103","slaico-nd-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##Nebraska","NE","68104","slaico-ne-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##New Hampshire","NH","3103","slaico-nh-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##New Jersey","NJ","8701","slaico-nj-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##New Mexico","NM","87121","slaico-nm-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"Nevada","NV","89110","slaico-nv-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
"##New York","NY","11226","slaico-ny-plan-2-10000-30-20000-250000","${FW}","${UNDERWRITING}","${AUTHORIZATION}"
