"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7"
"Birmingham","Alabama","AL","35215","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Anchorage","Alaska","AK","99504","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Little Rock","Arkansas","AR","72209","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Phoenix","Arizona","AZ","85364","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Los Angeles","California","CA","90011","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Denver","Colorado","CO","80219","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Bridgeport","Connecticut","CT","06606","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Wilmington","Delaware","DE","19805","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Chevy Chase","District Of Columbia","DC","20015","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Jacksonville","Florida","FL","33186","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Atlanta","Georgia","GA","30044","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Honolulu","Hawaii","HI","96818","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Des Moines","Iowa","IA","50317","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Boise","Idaho","ID","83709","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Chicago","Illinois","IL","60629","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Indianapolis","Indiana","IN","46227","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Wichita","Kansas","KS","66062","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Louisville","Kentucky","KY","40214","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"New Orleans","Louisiana","LA","70816","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Boston","Massachusetts","MA","02128","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Baltimore","Maryland","MD","21215","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Portland","Maine","ME","04401","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Detroit","Michigan","MI","48228","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Minneapolis","Minnesota","MN","55106","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Kansas City","Missouri","MO","63129","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"Jackson","Mississippi","MS","39503","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
"##Billings","Montana","MT","59102","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}"
