"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","plan name"
"Anchorage","Alaska","AK","99504","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for any of thefollowing: cancer or tumor, stroke, heart disease including heart attack, chest pain or had heartsurgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liverdisorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes,degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurologicaldisorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Birmingham","Alabama","AL","35215","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease)or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge,rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuseor chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)? Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Little Rock","Arkansas","AR","72209","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonarydisease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease orherniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of theknee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)? Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Phoenix","Arizona","AZ","85364","1. Will any applicant have other health insurance in force on the policy effective date?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonarydisease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease orherniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of theknee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)? Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Chevy Chase","District Of Columbia","DC","20015","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease)or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge,rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuseor chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)? Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Wilmington","Delaware","DE","19805","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease)or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge,rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuseor chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)? Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Jacksonville","Florida","FL","33186","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease)or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge,rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuseor chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Atlanta","Georgia","GA","30044","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for any of thefollowing: cancer or tumor, stroke, heart disease including heart attack, chest pain or had heartsurgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liverdisorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder,diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or anyneurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Honolulu","Hawaii","HI","96818","1. Will any applicant have other health insurance in force on the policy effective date?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease)or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge,rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuseor chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Boise","Idaho","ID","83709","1. Will any applicant have other health insurance in force on the policy effective date or be eligible forMedicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for orexperienced signs or symptoms of any of the following: cancer or tumor, stroke, heart diseaseincluding heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease)or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge,rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuseor chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medicalpractitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for HumanImmunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
