"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7","plan name"
"Birmingham","Alabama","AL","35215","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Anchorage","Alaska","AK","99504","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Little Rock","Arkansas","AR","72209","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Phoenix","Arizona","AZ","85364","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Los Angeles","California","CA","90011","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Denver","Colorado","CO","80219","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Bridgeport","Connecticut","CT","06606","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Wilmington","Delaware","DE","19805","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Chevy Chase","District Of Columbia","DC","20015","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Jacksonville","Florida","FL","33186","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Atlanta","Georgia","GA","30044","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Honolulu","Hawaii","HI","96818","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Des Moines","Iowa","IA","50317","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Boise","Idaho","ID","83709","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Chicago","Illinois","IL","60629","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years have you or has anyone named received treatment advice medication or surgical consultation for HIV infection from a doctor or other licensed clinical professional or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) name will not be covered under the policy/certificate.)","${Q7}","${plan}"
