"provider","state","state1","zipcode","Total","over6","upTo6","PlanName"
"Everest","Alabama","AL","35215","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Alaska","AK","99504","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Arkansas","AR","72209","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Arizona","AZ","85364","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","California","CA","90011","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Colorado","CO","80219","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Connecticut","CT","6606","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Delaware","DE","19805","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","District Of Columbia","DC","20015","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Florida","FL","33186","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Georgia","GA","30044","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Hawaii","HI","96818","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Iowa","IA","50317","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Idaho","ID","83709","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Illinois","IL","60629","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Indiana","IN","46227","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Kansas","KS","66062","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Kentucky","KY","40214","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Louisiana","LA","70816","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Massachusetts","MA","2128","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Maryland","MD","21215","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Maine","ME","4401","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Michigan","MI","48228","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Minnesota","MN","55106","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Missouri","MO","63129","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Mississippi","MS","39503","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Montana","MT","59102","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","North Carolina","NC","28269","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","North Dakota","ND","58103","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Nebraska","NE","68104","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","New Hampshire","NH","3103","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","New Jersey","NJ","8701","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","New Mexico","NM","87121","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Nevada","NV","89110","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","New York","NY","11226","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Ohio","OH","43228","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Oklahoma","OK","73160","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Oregon","OR","97229","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Pennsylvania","PA","19120","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Rhode Island","RI","2909","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","South Carolina","SC","29223","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","South Dakota","SD","57106","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Tennessee","TN","37013","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Texas","TX","79936","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Utah","UT","84120","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Virginia","VA","23464","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Vermont","VT","5401","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Washington","WA","98115","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Wisconsin","WI","53215","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","West Virginia","WV","25302","${num}","${over6}","${upTo6}","${PlanName}"
"Everest","Wyoming","WY","82001","${num}","${over6}","${upTo6}","${PlanName}"
