"provider","state","state1","zipcode","PlanName"
"Everest Prime","Alabama","AL","35215","${PlanName}"
"Everest Prime","Alaska","AK","99504","${PlanName}"
"Everest Prime","Arkansas","AR","72209","${PlanName}"
"Everest Prime","Arizona","AZ","85364","${PlanName}"
"Everest Prime","California","CA","90011","${PlanName}"
"Everest Prime","Colorado","CO","80219","${PlanName}"
"Everest Prime","Connecticut","CT","06606","${PlanName}"
"Everest Prime","Delaware","DE","19805","${PlanName}"
"Everest Prime","District Of Columbia","DC","20015","${PlanName}"
"Everest Prime","Florida","FL","33186","${PlanName}"
"Everest Prime","Georgia","GA","30044","${PlanName}"
"Everest Prime","Hawaii","HI","96818","${PlanName}"
"Everest Prime","Iowa","IA","50317","${PlanName}"
"Everest Prime","Idaho","ID","83709","${PlanName}"
"Everest Prime","Illinois","IL","60629","${PlanName}"
"Everest Prime","Indiana","IN","46227","${PlanName}"
"Everest Prime","Kansas","KS","66062","${PlanName}"
"Everest Prime","Kentucky","KY","40214","${PlanName}"
"Everest Prime","Louisiana","LA","70816","${PlanName}"
"Everest Prime","Massachusetts","MA","02128","${PlanName}"
"Everest Prime","Maryland","MD","21215","${PlanName}"
"Everest Prime","Maine","ME","04401","${PlanName}"
"Everest Prime","Michigan","MI","48228","${PlanName}"
"Everest Prime","Minnesota","MN","55106","${PlanName}"
"Everest Prime","Missouri","MO","63129","${PlanName}"
"Everest Prime","Mississippi","MS","39503","${PlanName}"
"Everest Prime","Montana","MT","59102","${PlanName}"
"Everest Prime","North Carolina","NC","28269","${PlanName}"
"Everest Prime","North Dakota","ND","58103","${PlanName}"
"Everest Prime","Nebraska","NE","68104","${PlanName}"
"Everest Prime","New Hampshire","NH","03103","${PlanName}"
"Everest Prime","New Jersey","NJ","08701","${PlanName}"
"Everest Prime","New Mexico","NM","87121","${PlanName}"
"Everest Prime","Nevada","NV","89110","${PlanName}"
"Everest Prime","New York","NY","11226","${PlanName}"
"Everest Prime","Ohio","OH","43228","${PlanName}"
"Everest Prime","Oklahoma","OK","73160","${PlanName}"
"Everest Prime","Oregon","OR","97229","${PlanName}"
"Everest Prime","Pennsylvania","PA","19120","${PlanName}"
"Everest Prime","Rhode Island","RI","02909","${PlanName}"
"Everest Prime","South Carolina","SC","29223","${PlanName}"
"Everest Prime","South Dakota","SD","57106","${PlanName}"
"Everest Prime","Tennessee","TN","37013","${PlanName}"
"Everest Prime","Texas","TX","79936","${PlanName}"
"Everest Prime","Utah","UT","84120","${PlanName}"
"Everest Prime","Virginia","VA","23464","${PlanName}"
"Everest Prime","Vermont","VT","05401","${PlanName}"
"Everest Prime","Washington","WA","98115","${PlanName}"
"Everest Prime","Wisconsin","WI","53215","${PlanName}"
"Everest Prime","West Virginia","WV","25302","${PlanName}"
"Everest Prime","Wyoming","WY","82001","${PlanName}"
