"provider","state","state1","zipcode","Total","over6","upTo6","PlanName"
"LifeShield","Alabama","AL","35215","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Alaska","AK","99504","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Arkansas","AR","72209","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Arizona","AZ","85364","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","California","CA","90011","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Colorado","CO","80219","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Connecticut","CT","06606","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Delaware","DE","19805","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","District Of Columbia","DC","20015","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Florida","FL","33186","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Georgia","GA","30044","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Hawaii","HI","96818","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Iowa","IA","50317","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Idaho","ID","83709","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Illinois","IL","60629","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Indiana","IN","46227","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Kansas","KS","66062","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Kentucky","KY","40214","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Louisiana","LA","70816","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Massachusetts","MA","02128","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Maryland","MD","21215","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Maine","ME","04401","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Michigan","MI","48228","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Minnesota","MN","55106","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Missouri","MO","63129","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Mississippi","MS","39503","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Montana","MT","59102","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","North Carolina","NC","28269","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","North Dakota","ND","58103","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Nebraska","NE","68104","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","New Hampshire","NH","03103","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","New Jersey","NJ","08701","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","New Mexico","NM","87121","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Nevada","NV","89110","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","New York","NY","11226","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Ohio","OH","43228","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Oklahoma","OK","73160","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Oregon","OR","97229","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Pennsylvania","PA","19120","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Rhode Island","RI","02909","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","South Carolina","SC","29223","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","South Dakota","SD","57106","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Tennessee","TN","37013","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Texas","TX","79936","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Utah","UT","84120","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Virginia","VA","23464","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Vermont","VT","05401","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Washington","WA","98115","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Wisconsin","WI","53215","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","West Virginia","WV","25302","${num}","${over6}","${upTo6}","${PlanName}"
"LifeShield","Wyoming","WY","82001","${num}","${over6}","${upTo6}","${PlanName}"
