"provider","state","state1","zipcode","Total","over6","upTo6","PlanName"
"National General","Alabama","AL","35215","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Alaska","AK","99504","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Arkansas","AR","72209","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Arizona","AZ","85364","${num}","${over6}","${upTo6}","${PlanName}"
"National General","California","CA","90011","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Colorado","CO","80219","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Connecticut","CT","06606","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Delaware","DE","19805","${num}","${over6}","${upTo6}","${PlanName}"
"National General","District Of Columbia","DC","20015","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Florida","FL","33186","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Georgia","GA","30044","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Hawaii","HI","96818","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Iowa","IA","50317","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Idaho","ID","83709","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Illinois","IL","60629","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Indiana","IN","46227","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Kansas","KS","66062","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Kentucky","KY","40214","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Louisiana","LA","70816","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Massachusetts","MA","02128","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Maryland","MD","21215","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Maine","ME","04401","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Michigan","MI","48228","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Minnesota","MN","55106","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Missouri","MO","63129","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Mississippi","MS","39503","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Montana","MT","59102","${num}","${over6}","${upTo6}","${PlanName}"
"National General","North Carolina","NC","28269","${num}","${over6}","${upTo6}","${PlanName}"
"National General","North Dakota","ND","58103","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Nebraska","NE","68104","${num}","${over6}","${upTo6}","${PlanName}"
"National General","New Hampshire","NH","03103","${num}","${over6}","${upTo6}","${PlanName}"
"National General","New Jersey","NJ","08701","${num}","${over6}","${upTo6}","${PlanName}"
"National General","New Mexico","NM","87121","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Nevada","NV","89110","${num}","${over6}","${upTo6}","${PlanName}"
"National General","New York","NY","11226","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Ohio","OH","43228","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Oklahoma","OK","73160","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Oregon","OR","97229","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Pennsylvania","PA","19120","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Rhode Island","RI","02909","${num}","${over6}","${upTo6}","${PlanName}"
"National General","South Carolina","SC","29223","${num}","${over6}","${upTo6}","${PlanName}"
"National General","South Dakota","SD","57106","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Tennessee","TN","37013","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Texas","TX","79936","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Utah","UT","84120","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Virginia","VA","23464","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Vermont","VT","05401","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Washington","WA","98115","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Wisconsin","WI","53215","${num}","${over6}","${upTo6}","${PlanName}"
"National General","West Virginia","WV","25302","${num}","${over6}","${upTo6}","${PlanName}"
"National General","Wyoming","WY","82001","${num}","${over6}","${upTo6}","${PlanName}"
