"provider","quote_rate_QA","detail_rate_QA","quote_rate_TestProd","detail_rate_TestProd","state","zip","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable","Plan_name"
"Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","il","60002","1980/1/1","F","","","","","","","","","usa-plus-dental-vision"
"Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","il","60002","1980/1/1","F","1980/1/1","M","S","1","","","","","USA+ Access II"
"Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","il","60002","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2","USA+ Select I"
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","60002","1980/1/1","F","","","","","2000/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","60002","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","35215","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","35215","1980/1/1","F","1980/1/1","M","S","1","","","","",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","35215","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","35215","1980/1/1","F","","","","","2000/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","35215","1980/1/1","F","","","","","1997/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","85364","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","85364","1980/1/1","F","1980/1/1","M","S","1","","","","",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","85364","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","85364","1980/1/1","F","","","","","2000/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","85364","1980/1/1","F","","","","","1997/1/1","M","C","2",""
"##Ameritas","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","","20015","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2",""
