"provider","state","Plan_name","quote_rate_QA","detail_rate_QA","quote_rate_TestProd","detail_rate_TestProd","zipcode","Primary_dob","Primary_gender"
"Nationwide","al","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","35215","1/1/1980","F"
"##Nationwide","ak","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","99504","1/1/1980","F"
"Nationwide","ar","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","72209","1/1/1980","F"
"Nationwide","az","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","85364","1/1/1980","F"
"Nationwide","ca","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","90011","1/1/1980","F"
"##Nationwide","co","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","80219","1/1/1980","F"
"Nationwide","ct","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","06606","1/1/1980","F"
"Nationwide","de","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","19805","1/1/1980","F"
"Nationwide","dc","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","20015","1/1/1980","F"
"Nationwide","fl","Foundation Dental - Protector I","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","33186","1/1/1980","F"
"Nationwide","ga","Foundation Dental - Protector I and Foundation Vision","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","30044","1/1/1980","F"
