"provider","quote_rate_QA","detail_rate_QA","quote_rate_TestProd","detail_rate_TestProd","zip","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","60002","1980/1/1","F","","","","","","","",""
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","60002","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","60002","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","60002","1980/1/1","F","","","","","2000/1/1","M","C","2"
"NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","60002","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2"
"NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","35215","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","35215","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","35215","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","35215","1980/1/1","F","","","","","2000/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","35215","1980/1/1","F","","","","","1997/1/1","M","C","2"
"NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","85364","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","85364","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","85364","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","85364","1980/1/1","F","","","","","2000/1/1","M","C","2"
"##NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","85364","1980/1/1","F","","","","","1997/1/1","M","C","2"
"NationWide","${quote_rate_QA}","${detail_rate_QA}","${quote_rate_TestProd}","${detail_rate_TestProd}","20015","1980/1/1","F","1980/1/1","M","S","1","1997/1/1","M","C","2"
