"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"Chubb","al","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##Chubb","ak","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"##Chubb","ar","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"Chubb","az","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##Chubb","ca","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"##Chubb","co","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##Chubb","ct","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F"
"Chubb","de","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"##Chubb","dc","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"##Chubb","fl","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"##Chubb","ga","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"Chubb","hi","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"##Chubb","ia","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##Chubb","id","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"##Chubb","il","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"##Chubb","in","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Chubb","ks","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"Chubb","ky","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"##Chubb","la","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Chubb","ma","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F"
"##Chubb","md","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##Chubb","me","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F"
"##Chubb","mi","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"##Chubb","mn","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"##Chubb","mo","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"Chubb","ms","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Chubb","mt","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"##Chubb","nc","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"Chubb","nd","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"Chubb","ne","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##Chubb","nh","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F"
"##Chubb","nj","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F"
"##Chubb","nm","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"##Chubb","nv","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Chubb","ny","Agile One 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
