"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"Chubb","al","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##Chubb","ak","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"Chubb","ar","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"Chubb","az","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##Chubb","ca","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"##Chubb","co","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##Chubb","ct","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F"
"Chubb","de","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"Chubb","dc","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"##Chubb","fl","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"Chubb","ga","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"Chubb","hi","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"Chubb","ia","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##Chubb","id","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"Chubb","il","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"Chubb","in","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Chubb","ks","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"Chubb","ky","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"Chubb","la","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Chubb","ma","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F"
"##Chubb","md","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##Chubb","me","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F"
"Chubb","mi","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"##Chubb","mn","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"Chubb","mo","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"Chubb","ms","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Chubb","mt","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"Chubb","nc","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"Chubb","nd","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"Chubb","ne","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##Chubb","nh","Cardinal Choice 750","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F"
