"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"Chubb","al","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##Chubb","ak","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"##Chubb","ar","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"Chubb","az","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##Chubb","ca","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"##Chubb","co","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##Chubb","ct","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","6606","1/1/1980","F"
"Chubb","de","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"##Chubb","dc","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"##Chubb","fl","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"Chubb","ga","Health Choice+ 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
