"provider","state","Plan_name","quote_QA_rate","QA_Apply_page_rate","quote_testprod_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Chubb","al","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##Chubb","ak","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"##Chubb","ar","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"##Chubb","az","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"Chubb","ca","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"##Chubb","co","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##Chubb","ct","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","6606","1/1/1980","F"
"##Chubb","de","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"Chubb","dc","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"Chubb","fl","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"##Chubb","ga","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"##Chubb","hi","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"Chubb","ia","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##Chubb","id","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"##Chubb","il","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"##Chubb","in","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Chubb","ks","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"##Chubb","ky","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"Chubb","la","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Chubb","ma","Vitala Care 100A","${quote_QA_rate}","${Apply_page_QA_rate}","${quote_testprod_rate}","${Apply_page_testprod_rate}","2128","1/1/1980","F"
