"provider","state","planid","QA_Apply_page_rate","QA_Apply_page_fee","QA_duration","testprod_Apply_page_rate","testprod_Apply_page_fee","Prod_duration","trendFactor","zipcode","Primary_dob","Primary_gender"
"Everest","al","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","35215","1/1/1980","F"
"##Everest","ak","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","99504","1/1/1980","F"
"Everest","ar","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","72209","1/1/1980","F"
"Everest","az","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","85364","1/1/1980","F"
"##Everest","ca","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","90011","1/1/1980","F"
"##Everest","co","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","80219","1/1/1980","F"
"##Everest","ct","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","06606","1/1/1980","F"
"##Everest","de","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19805","1/1/1980","F"
"##Everest","dc","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","20015","1/1/1980","F"
"Everest","fl","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","33186","1/1/1980","F"
"Everest","ga","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","30044","1/1/1980","F"
"##Everest","hi","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","96818","1/1/1980","F"
"##Everest","ia","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","50317","1/1/1980","F"
"Everest","id","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","83709","1/1/1980","F"
"Everest","il","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","60629","1/1/1980","F"
"Everest","in","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","46227","1/1/1980","F"
"##Everest","ks","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","66062","1/1/1980","F"
"##Everest","ky","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","40214","1/1/1980","F"
"Everest","la","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","70816","1/1/1980","F"
"##Everest","ma","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02128","1/1/1980","F"
"##Everest","md","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","21215","1/1/1980","F"
"##Everest","me","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","04401","1/1/1980","F"
"##Everest","mi","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","48228","1/1/1980","F"
"Everest","mn","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","55106","1/1/1980","F"
"Everest","mo","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","63129","1/1/1980","F"
"Everest","ms","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","39503","1/1/1980","F"
"##Everest","mt","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","59102","1/1/1980","F"
"Everest","nc","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","28269","1/1/1980","F"
"##Everest","nd","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","58103","1/1/1980","F"
"Everest","ne","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","68104","1/1/1980","F"
"Everest","nh","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","03103","1/1/1980","F"
"##Everest","nj","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","08701","1/1/1980","F"
"##Everest","nm","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","87121","1/1/1980","F"
"##Everest","nv","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","89110","1/1/1980","F"
"##Everest","ny","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","11226","1/1/1980","F"
"Everest","oh","everest-${state}-5000-30-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","43228","1/1/1980","F"
"Everest","ok","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","73160","1/1/1980","F"
"Everest","or","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","97229","1/1/1980","F"
"Everest","pa","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19120","1/1/1980","F"
"##Everest","ri","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02909","1/1/1980","F"
"Everest","sc","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","29223","1/1/1980","F"
"Everest","sd","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","57106","1/1/1980","F"
"Everest","tn","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","37230","1/1/1980","F"
"Everest","tx","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","79936","1/1/1980","F"
"##Everest","ut","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","84120","1/1/1980","F"
"##Everest","va","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","23464","1/1/1980","F"
"##Everest","vt","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","05401","1/1/1980","F"
"##Everest","wa","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","98115","1/1/1980","F"
"Everest","wi","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","53215","1/1/1980","F"
"Everest","wv","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","25302","1/1/1980","F"
"Everest","wy","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","82001","1/1/1980","F"
