"provider","state","planid","QA_Apply_page_rate","QA_Apply_page_fee","QA_duration","testprod_Apply_page_rate","testprod_Apply_page_fee","Prod_duration","trendFactor","zipcode","Primary_dob","Primary_gender"
"Everest","al","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","35215","1/1/1980","F"
"##Everest","ak","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","99504","1/1/1980","F"
"Everest","ar","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","72209","1/1/1980","F"
"Everest","az","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","85364","1/1/1980","F"
"##Everest","ca","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","90011","1/1/1980","F"
"##Everest","co","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","80219","1/1/1980","F"
"##Everest","ct","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","06606","1/1/1980","F"
"##Everest","de","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19805","1/1/1980","F"
"Everest","dc","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","20015","1/1/1980","F"
"Everest","fl","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","33186","1/1/1980","F"
"Everest","ga","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","30044","1/1/1980","F"
"##Everest","hi","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","96818","1/1/1980","F"
"Everest","ia","nationalgeneral-${state}-5000-50-8750-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","50317","1/1/1980","F"
"##Everest","id","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","83709","1/1/1980","F"
"Everest","il","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","60629","1/1/1980","F"
"##Everest","in","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","46227","1/1/1980","F"
"Everest","ks","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","66062","1/1/1980","F"
"Everest","ky","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","40214","1/1/1980","F"
"Everest","la","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","70816","1/1/1980","F"
"##Everest","ma","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02128","1/1/1980","F"
"Everest","md","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","21215","1/1/1980","F"
"##Everest","me","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","04401","1/1/1980","F"
"##Everest","mi","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","48228","1/1/1980","F"
"##Everest","mn","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","55106","1/1/1980","F"
"Everest","mo","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","63129","1/1/1980","F"
"Everest","ms","nationalgeneral-${state}-5000-50-8750-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","39503","1/1/1980","F"
"Everest","mt","nationalgeneral-${state}-5000-50-10000-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","59102","1/1/1980","F"
"Everest","nc","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","28269","1/1/1980","F"
"##Everest","nd","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","58103","1/1/1980","F"
"Everest","ne","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","68104","1/1/1980","F"
"##Everest","nh","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","03103","1/1/1980","F"
"##Everest","nj","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","08701","1/1/1980","F"
"Everest","nm","nationalgeneral-${state}-5000-50-8750-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","87121","1/1/1980","F"
"Everest","nv","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","89110","1/1/1980","F"
"##Everest","ny","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","11226","1/1/1980","F"
"Everest","oh","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","43228","1/1/1980","F"
"Everest","ok","nationalgeneral-${state}-5000-50-10000-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","73160","1/1/1980","F"
"Everest","or","nationalgeneral-${state}-5000-50-8750-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","97229","1/1/1980","F"
"##Everest","pa","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19120","1/1/1980","F"
"##Everest","ri","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02909","1/1/1980","F"
"Everest","sc","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","29223","1/1/1980","F"
"Everest","sd","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","57106","1/1/1980","F"
"Everest","tn","nationalgeneral-${state}-5000-50-8750-250000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","37230","1/1/1980","F"
"Everest","tx","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","79936","1/1/1980","F"
"Everest","ut","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","84120","1/1/1980","F"
"Everest","va","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","23464","1/1/1980","F"
"##Everest","vt","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","05401","1/1/1980","F"
"##Everest","wa","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","98115","1/1/1980","F"
"Everest","wi","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","53215","1/1/1980","F"
"Everest","wv","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","25302","1/1/1980","F"
"Everest","wy","nationalgeneral-${state}-10000-20-15000-1000000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","82001","1/1/1980","F"
