"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"Companion Life","al","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F","","","","","","","",""
"##Companion Life","ak","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F","","","","","","","",""
"Companion Life","ar","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F","","","","","","","",""
"##Companion Life","az","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F","","","","","","","",""
"##Companion Life","ca","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F","","","","","","","",""
"##Companion Life","co","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F","","","","","","","",""
"##Companion Life","ct","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F","","","","","","","",""
"##Companion Life","de","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F","","","","","","","",""
"##Companion Life","dc","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F","","","","","","","",""
"Companion Life","fl","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F","","","","","","","",""
"Companion Life","ga","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F","","","","","","","",""
"##Companion Life","hi","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F","","","","","","","",""
"##Companion Life","ia","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F","","","","","","","",""
"Companion Life","id","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F","","","","","","","",""
"##Companion Life","il","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F","","","","","","","",""
"##Companion Life","in","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F","","","","","","","",""
"##Companion Life","ks","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F","","","","","","","",""
"Companion Life","ky","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F","","","","","","","",""
"##Companion Life","la","pivot-health-choice-${state}-5000-20-extended","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F","","","","","","","",""
