"provider","state","zipcode","planid","QA_Apply_page_rate","QA_duration","testprod_Apply_page_rate","Prod_duration","trendFactor","Primary_dob","Primary_gender"
"LifeShield","al","35215","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ak","99504","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","ar","72209","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","az","85364","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ca","90011","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","co","80219","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ct","6606","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","de","19805","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","dc","20015","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","fl","33186","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","ga","30044","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","hi","96818","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ia","50317","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","id","83709","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","il","60629","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","in","46227","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ks","66062","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","ky","40214","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","la","70816","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ma","2128","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","md","21215","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","me","4401","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","mi","48228","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","mn","55106","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","mo","63129","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"LifeShield","ms","39503","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","mt","59102","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","nc","28269","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","nd","58103","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ne","68104","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","nh","3103","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","nj","8701","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","nm","87121","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","nv","89110","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","ny","11226","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
"##LifeShield","oh","43228","lifeshield-advantage-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${QA_duration}","${Apply_page_testprod_rate}","${Prod_duration}","${trendFactor}","1/1/1980","F"
