"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"UHC","al","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F","","","","","","","",""
"##UHC","ak","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F","","","","","","","",""
"UHC","ar","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F","","","","","","","",""
"##UHC","az","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F","","","","","","","",""
"##UHC","ca","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F","","","","","","","",""
"##UHC","co","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F","","","","","","","",""
"##UHC","ct","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F","","","","","","","",""
"##UHC","de","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F","","","","","","","",""
"##UHC","dc","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F","","","","","","","",""
"UHC","fl","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F","","","","","","","",""
"UHC","ga","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F","","","","","","","",""
"##UHC","hi","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F","","","","","","","",""
"##UHC","ia","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F","","","","","","","",""
"##UHC","id","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F","","","","","","","",""
"##UHC","il","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F","","","","","","","",""
"##UHC","in","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F","","","","","","","",""
"##UHC","ks","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F","","","","","","","",""
"UHC","ky","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F","","","","","","","",""
"##UHC","la","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F","","","","","","","",""
"##UHC","ma","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F","","","","","","","",""
"##UHC","md","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F","","","","","","","",""
"##UHC","me","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F","","","","","","","",""
"##UHC","mi","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F","","","","","","","",""
"##UHC","mn","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F","","","","","","","",""
"UHC","mo","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F","","","","","","","",""
"UHC","ms","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F","","","","","","","",""
"##UHC","mt","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F","","","","","","","",""
"UHC","nc","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F","","","","","","","",""
"##UHC","nd","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F","","","","","","","",""
"##UHC","ne","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F","","","","","","","",""
"##UHC","nh","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F","","","","","","","",""
"##UHC","nj","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F","","","","","","","",""
"##UHC","nm","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F","","","","","","","",""
"##UHC","nv","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F","","","","","","","",""
"##UHC","ny","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F","","","","","","","",""
"UHC","oh","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F","","","","","","","",""
"UHC","ok","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F","","","","","","","",""
"##UHC","or","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F","","","","","","","",""
"##UHC","pa","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F","","","","","","","",""
"##UHC","ri","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","2909","1/1/1980","F","","","","","","","",""
"UHC","sc","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F","","","","","","","",""
"##UHC","sd","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F","","","","","","","",""
"UHC","tn","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F","","","","","","","",""
"UHC","tx","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F","","","","","","","",""
"##UHC","ut","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F","","","","","","","",""
"##UHC","va","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F","","","","","","","",""
"##UHC","vt","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F","","","","","","","",""
"##UHC","wa","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F","","","","","","","",""
"UHC","wi","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F","","","","","","","",""
"UHC","wv","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F","","","","","","","",""
"##UHC","wy","unitedhealthone-${state}-value-select-a-5000-30-10000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F","","","","","","","",""
