"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","F","","","","","","","",""
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","F","1980/1/1","M","S","1","","","",""
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","F","","","","","2000/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90001","F","","","","","1997/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80019","F","","","","","","","",""
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06440","F","1980/1/1","M","S","1","","","",""
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19964","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","F","","","","","2000/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","32775","F","","","","","1997/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30547","F","","","","","","","",""
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","F","1980/1/1","M","S","1","","","",""
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","F","","","","","2000/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","F","","","","","1997/1/1","M","C","2"
"National General","National General 5K/50/10K/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","F","","","","","","","",""
