"provider","Plan_name","quote_testprod_rate","quote_QA_rate","QA_Apply_page_rate","testprod_Apply_page_rate","","zipcode","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","AL","35215","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","AK","99504","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","AR","72209","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","AZ","85364","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CA","90011","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CO","80219","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","CT","6606","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DE","19805","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","DC","20015","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","FL","33186","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","GA","30044","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","HI","96818","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","IA","50317","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ID","83709","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","IL","60629","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","IN","46227","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","KS","66062","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","KY","40214","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","LA","70816","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MA","2128","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MD","21215","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ME","4401","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MI","48228","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MN","55106","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MO","63129","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MS","39503","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","MT","59102","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NC","28269","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","ND","58103","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NE","68104","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NH","3103","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NJ","8701","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NM","87121","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NV","89110","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","NY","11226","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OH","43228","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OK","73160","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","OR","97229","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","PA","19120","1/1/1980","F","","","","","","","",""
"##Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","RI","2909","1/1/1980","F","","","","","","","",""
"Standard Life","Standard Life Select STM Plan 2 10000/30/250K","${quote_testprod_rate}","${quote_QA_rate}","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","SC","29223","1/1/1980","F","","","","","","","",""
