"provider","state","zipcode","planid","QA_Apply_page_rate","testprod_Apply_page_rate","Primary_dob","Primary_gender","Spouse_dob","Spouse_gender","Spouse","Spouse_enable","Child_dob","Child_gender","Child","Child_enable"
"Standard Life","il","60002","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","il","60002","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"Standard Life","il","60002","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"Standard Life","il","60002","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"Standard Life","il","60002","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"##Standard Life","al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"##Standard Life","al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
"##Standard Life","al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","2000/1/1","M","C","2"
"##Standard Life","al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","2000/1/1","M","C","2"
"##Standard Life","al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","1997/1/1","M","C","2"
"Standard Life","az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","","","","","","","",""
"Standard Life","az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","1980/1/1","F","1980/1/1","M","S","1","","","",""
