"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"AdvantHealth Plan2","al","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##AdvantHealth Plan2","ak","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"AdvantHealth Plan2","ar","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"AdvantHealth Plan2","az","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##AdvantHealth Plan2","ca","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"##AdvantHealth Plan2","co","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##AdvantHealth Plan2","ct","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F"
"##AdvantHealth Plan2","de","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"##AdvantHealth Plan2","dc","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"##AdvantHealth Plan2","fl","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"AdvantHealth Plan2","ga","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"##AdvantHealth Plan2","hi","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"##AdvantHealth Plan2","ia","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##AdvantHealth Plan2","id","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"##AdvantHealth Plan2","il","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"##AdvantHealth Plan2","in","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##AdvantHealth Plan2","ks","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"AdvantHealth Plan2","ky","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"##AdvantHealth Plan2","la","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##AdvantHealth Plan2","ma","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F"
"##AdvantHealth Plan2","md","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##AdvantHealth Plan2","me","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F"
"##AdvantHealth Plan2","mi","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"##AdvantHealth Plan2","mn","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"##AdvantHealth Plan2","mo","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"AdvantHealth Plan2","ms","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##AdvantHealth Plan2","mt","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"AdvantHealth Plan2","nc","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"##AdvantHealth Plan2","nd","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"AdvantHealth Plan2","ne","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##AdvantHealth Plan2","nh","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F"
"##AdvantHealth Plan2","nj","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F"
"##AdvantHealth Plan2","nm","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"AdvantHealth Plan2","nv","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##AdvantHealth Plan2","ny","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"AdvantHealth Plan2","oh","advanthealth-plan-2-${state}-5000-20-9000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
