"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"Everest Prime","al","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##Everest Prime","ak","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"Everest Prime","ar","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"Everest Prime","az","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##Everest Prime","ca","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"##Everest Prime","co","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##Everest Prime","ct","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F"
"##Everest Prime","de","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"##Everest Prime","dc","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"Everest Prime","fl","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"Everest Prime","ga","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"##Everest Prime","hi","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"##Everest Prime","ia","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"Everest Prime","id","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"Everest Prime","il","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"Everest Prime","in","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Everest Prime","ks","everest-${state}-5000-20-10000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
