"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"##Everest","al","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##Everest","ak","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"##Everest","ar","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"##Everest","az","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##Everest","ca","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"Everest","co","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##Everest","ct","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F"
"##Everest","de","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"Everest","dc","everest-one-${state}-5000-20-8000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"##Everest","fl","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"##Everest","ga","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"##Everest","hi","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"##Everest","ia","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"Everest","id","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"##Everest","il","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"##Everest","in","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##Everest","ks","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"##Everest","ky","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"##Everest","la","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##Everest","ma","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F"
"##Everest","md","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"Everest","me","everest-one-${state}-2500-20-4500","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F"
"##Everest","mi","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"Everest","mn","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"##Everest","mo","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"##Everest","ms","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##Everest","mt","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"##Everest","nc","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"##Everest","nd","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"Everest","ne","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"Everest","nh","everest-one-${state}-5000-20-8000-1000000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F"
"##Everest","nj","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F"
"##Everest","nm","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"##Everest","nv","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##Everest","ny","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"##Everest","oh","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"##Everest","ok","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"Everest","or","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"##Everest","pa","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##Everest","ri","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F"
"##Everest","sc","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"Everest","sd","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"##Everest","tn","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"##Everest","tx","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##Everest","ut","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"##Everest","va","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##Everest","vt","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F"
"##Everest","wa","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"Everest","wi","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"Everest","wv","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"##Everest","wy","everest-one-${state}-5000-20-7000-250000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
