"provider","state","planid","QA_Apply_page_rate","testprod_Apply_page_rate","zipcode","Primary_dob","Primary_gender"
"LifeShield","al","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","35215","1/1/1980","F"
"##LifeShield","ak","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","99504","1/1/1980","F"
"LifeShield","ar","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","72209","1/1/1980","F"
"LifeShield","az","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","85364","1/1/1980","F"
"##LifeShield","ca","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","90011","1/1/1980","F"
"LifeShield","co","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","80219","1/1/1980","F"
"##LifeShield","ct","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","06606","1/1/1980","F"
"##LifeShield","de","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19805","1/1/1980","F"
"LifeShield","dc","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","20015","1/1/1980","F"
"LifeShield","fl","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","33186","1/1/1980","F"
"LifeShield","ga","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","30044","1/1/1980","F"
"##LifeShield","hi","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","96818","1/1/1980","F"
"##LifeShield","ia","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","50317","1/1/1980","F"
"##LifeShield","id","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","83709","1/1/1980","F"
"LifeShield","il","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","60629","1/1/1980","F"
"LifeShield","in","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","46227","1/1/1980","F"
"##LifeShield","ks","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","66062","1/1/1980","F"
"LifeShield","ky","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","40214","1/1/1980","F"
"LifeShield","la","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","70816","1/1/1980","F"
"##LifeShield","ma","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02128","1/1/1980","F"
"##LifeShield","md","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","21215","1/1/1980","F"
"##LifeShield","me","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","04401","1/1/1980","F"
"##LifeShield","mi","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","48228","1/1/1980","F"
"LifeShield","mn","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","55106","1/1/1980","F"
"LifeShield","mo","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","63129","1/1/1980","F"
"LifeShield","ms","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","39503","1/1/1980","F"
"##LifeShield","mt","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","59102","1/1/1980","F"
"LifeShield","nc","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","28269","1/1/1980","F"
"##LifeShield","nd","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","58103","1/1/1980","F"
"##LifeShield","ne","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","68104","1/1/1980","F"
"##LifeShield","nh","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","03103","1/1/1980","F"
"##LifeShield","nj","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","08701","1/1/1980","F"
"##LifeShield","nm","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","87121","1/1/1980","F"
"LifeShield","nv","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","89110","1/1/1980","F"
"##LifeShield","ny","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","11226","1/1/1980","F"
"##LifeShield","oh","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","43228","1/1/1980","F"
"LifeShield","ok","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","73160","1/1/1980","F"
"LifeShield","or","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","97229","1/1/1980","F"
"LifeShield","pa","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","19120","1/1/1980","F"
"##LifeShield","ri","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","02909","1/1/1980","F"
"LifeShield","sc","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","29223","1/1/1980","F"
"LifeShield","sd","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","57106","1/1/1980","F"
"LifeShield","tn","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","37230","1/1/1980","F"
"LifeShield","tx","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","79936","1/1/1980","F"
"##LifeShield","ut","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","84120","1/1/1980","F"
"LifeShield","va","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","23464","1/1/1980","F"
"##LifeShield","vt","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","05401","1/1/1980","F"
"##LifeShield","wa","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","98115","1/1/1980","F"
"##LifeShield","wi","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","53215","1/1/1980","F"
"LifeShield","wv","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","25302","1/1/1980","F"
"##LifeShield","wy","lifeshield-flex-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${Apply_page_testprod_rate}","82001","1/1/1980","F"
