state,state1,zipcode,DOB,Carriers,Plan1,Plan2,Plan3,Plan4,Plan5,Plan6
Indiana,IN,46227,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Kansas,KS,66062,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Kentucky,KY,40214,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Louisiana,LA,70816,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
##Massachusetts,MA,2128,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
##Maryland,MD,21215,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Maine,ME,4401,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Michigan,MI,48228,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Minnesota,MN,55106,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Missouri,MO,63129,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Mississippi,MS,39503,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
##Montana,MT,59102,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
North Carolina,NC,28269,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
North Dakota,ND,58103,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Nebraska,NE,68104,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
New Hampshire,NH,3103,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
