state,state1,zipcode,DOB,Carriers,Plan1,Plan2,Plan3,Plan4,Plan5,Plan6
##New Jersey,NJ,8701,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
New Mexico,NM,87121,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Nevada,NV,89110,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
New York,NY,11226,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Ohio,OH,43228,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Oklahoma,OK,73160,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Oregon,OR,97229,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Pennsylvania,PA,19120,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
##Rhode Island,RI,2909,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
South Carolina,SC,29223,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
South Dakota,SD,57106,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Tennessee,TN,37013,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Texas,TX,79936,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Utah,UT,84120,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Virginia,VA,23464,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
##Vermont,VT,5401,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Washington,WA,98115,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Wisconsin,WI,53215,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
West Virginia,WV,25302,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
Wyoming,WY,82001,03/06/1995,${Carriers},${Bestsellername1},${Bestsellername2},${Bestsellername3},${Bestsellername4},${Bestsellername5},${Bestsellername6}
