"state","state1","zipcode","HII_P"
"Alabama","AL","35215","${HII_P}"
"Alabama","AL","36310","${HII_P}"
"Alaska","AK","99504","${HII_P}"
"Arkansas","AR","72209","${HII_P}"
"Arizona","AZ","85364","${HII_P}"
"California","CA","90011","${HII_P}"
"California","CA","91301","${HII_P}"
"California","CA","92653","${HII_P}"
"California","CA","96101","${HII_P}"
"Colorado","CO","80219","${HII_P}"
"Connecticut","CT","06606","${HII_P}"
"Delaware","DE","19805","${HII_P}"
"DC","DC","20015","${HII_P}"
"Florida","FL","33186","${HII_P}"
"Florida","FL","32234","${HII_P}"
"Georgia","GA","30044","${HII_P}"
"Georgia","GA","31622","${HII_P}"
"Hawaii","HI","96818","${HII_P}"
"Iowa","IA","50317","${HII_P}"
"Idaho","ID","83709","${HII_P}"
"Illinois","IL","60629","${HII_P}"
"Illinois","IL","61410","${HII_P}"
"Indiana","IN","46227","${HII_P}"
"Kansas","KS","66062","${HII_P}"
"Kentucky","KY","40214","${HII_P}"
"Louisiana","LA","70816","${HII_P}"
"##Massachusetts","MA","02128","${HII_P}"
"##Maryland","MD","21215","${HII_P}"
"Maine","ME","04401","${HII_P}"
"##Michigan","MI","48228","${HII_P}"
"##Michigan","MI","49610","${HII_P}"
"##Minnesota","MN","55106","${HII_P}"
"Missouri","MO","63129","${HII_P}"
"Mississippi","MS","39503","${HII_P}"
"##Montana","MT","59102","${HII_P}"
"North Carolina","NC","28269","${HII_P}"
"North Dakota","ND","58103","${HII_P}"
"Nebraska","NE","68104","${HII_P}"
"New Hampshire","NH","03103","${HII_P}"
"##New Jersey","NJ","08701","${HII_P}"
"New Mexico","NM","87121","${HII_P}"
"Nevada","NV","89110","${HII_P}"
"##New York","NY","11226","${HII_P}"
"Ohio","OH","43228","${HII_P}"
"Oklahoma","OK","73160","${HII_P}"
"Oregon","OR","97229","${HII_P}"
"Pennsylvania","PA","19120","${HII_P}"
"Pennsylvania","PA","15410","${HII_P}"
"Pennsylvania","PA","19501","${HII_P}"
"##Rhode Island","RI","02909","${HII_P}"
"South Carolina","SC","29223","${HII_P}"
"South Dakota","SD","57106","${HII_P}"
"Tennessee","TN","37013","${HII_P}"
"Texas","TX","79936","${HII_P}"
"Texas","TX","77515","${HII_P}"
"Texas","TX","79713","${HII_P}"
"##Utah","UT","84120","${HII_P}"
"Virginia","VA","23464","${HII_P}"
"Virginia","VA","22044","${HII_P}"
"Virginia","VA","24053","${HII_P}"
"##Vermont","VT","05401","${HII_P}"
"Washington","WA","98115","${HII_P}"
"Wisconsin","WI","53215","${HII_P}"
"Wisconsin","WI","54405","${HII_P}"
"West Virginia","WV","25302","${HII_P}"
"West Virginia","WV","26320","${HII_P}"
"Wyoming","WY","82001","${HII_P}"
