"provider","state","state1","zip","DOB","Question1","Question2","Question3","Question4","Question5","Question6","Question7","Question8"
"Standard Life","Alabama","AL","35215","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Alaska","AK","99504","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Arkansas","AR","72209","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Arizona","AZ","85364","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","California","CA","90011","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Colorado","CO","80219","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Connecticut","CT","6606","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Delaware","DE","19805","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","District Of Columbia","DC","20015","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"Standard Life","Florida","FL","33186","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Georgia","GA","30044","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Hawaii","HI","96818","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Iowa","IA","50317","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Idaho","ID","83709","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Illinois","IL","60629","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Indiana","IN","46227","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Kansas","KS","66062","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Kentucky","KY","40214","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Louisiana","LA","70816","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Massachusetts","MA","2128","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Maryland","MD","21215","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Maine","ME","04401","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Michigan","MI","48228","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Minnesota","MN","55106","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Missouri","MO","63129","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Mississippi","MS","39503","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Montana","MT","59102","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","North Carolina","NC","28269","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","North Dakota","ND","58103","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Nebraska","NE","68104","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","New Hampshire","NH","3103","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","New Jersey","NJ","8701","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","New Mexico","NM","87121","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Nevada","NV","89110","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","New York","NY","11226","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Ohio","OH","43228","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##Standard Life","Oklahoma","OK","73160","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
