"provider","state","state1","zipcode","PlanName"
"IHC Group","Alabama","AL","35215","${PlanName}"
"IHC Group","Alaska","AK","99504","${PlanName}"
"IHC Group","Arkansas","AR","72209","${PlanName}"
"IHC Group","Arizona","AZ","85364","${PlanName}"
"IHC Group","California","CA","90011","${PlanName}"
"IHC Group","Colorado","CO","80219","${PlanName}"
"IHC Group","Connecticut","CT","06606","${PlanName}"
"IHC Group","Delaware","DE","19805","${PlanName}"
"IHC Group","District Of Columbia","DC","20015","${PlanName}"
"IHC Group","Florida","FL","33186","${PlanName}"
"IHC Group","Georgia","GA","30044","${PlanName}"
"IHC Group","Hawaii","HI","96818","${PlanName}"
"IHC Group","Iowa","IA","50317","${PlanName}"
"IHC Group","Idaho","ID","83709","${PlanName}"
"IHC Group","Illinois","IL","60629","${PlanName}"
"IHC Group","Indiana","IN","46227","${PlanName}"
"IHC Group","Kansas","KS","66062","${PlanName}"
"IHC Group","Kentucky","KY","40214","${PlanName}"
"IHC Group","Louisiana","LA","70816","${PlanName}"
"IHC Group","Massachusetts","MA","02128","${PlanName}"
"IHC Group","Maryland","MD","21215","${PlanName}"
"IHC Group","Maine","ME","04401","${PlanName}"
"IHC Group","Michigan","MI","48228","${PlanName}"
"IHC Group","Minnesota","MN","55106","${PlanName}"
"IHC Group","Missouri","MO","63129","${PlanName}"
"IHC Group","Mississippi","MS","39503","${PlanName}"
"IHC Group","Montana","MT","59102","${PlanName}"
"##IHC Group","North Carolina","NC","28269","${PlanName}"
"IHC Group","North Dakota","ND","58103","${PlanName}"
"IHC Group","Nebraska","NE","68104","${PlanName}"
"IHC Group","New Hampshire","NH","3103","${PlanName}"
"IHC Group","New Jersey","NJ","08701","${PlanName}"
"IHC Group","New Mexico","NM","87121","${PlanName}"
"IHC Group","Nevada","NV","89110","${PlanName}"
"IHC Group","New York","NY","11226","${PlanName}"
"IHC Group","Ohio","OH","43228","${PlanName}"
"IHC Group","Oklahoma","OK","73160","${PlanName}"
"IHC Group","Oregon","OR","97229","${PlanName}"
"IHC Group","Pennsylvania","PA","19120","${PlanName}"
"IHC Group","Rhode Island","RI","02909","${PlanName}"
"IHC Group","South Carolina","SC","29223","${PlanName}"
"IHC Group","South Dakota","SD","57106","${PlanName}"
"IHC Group","Tennessee","TN","37013","${PlanName}"
"IHC Group","Texas","TX","79936","${PlanName}"
"IHC Group","Utah","UT","84120","${PlanName}"
"IHC Group","Virginia","VA","23464","${PlanName}"
"IHC Group","Vermont","VT","05401","${PlanName}"
"IHC Group","Washington","WA","98115","${PlanName}"
"IHC Group","Wisconsin","WI","53215","${PlanName}"
"IHC Group","West Virginia","WV","25302","${PlanName}"
"IHC Group","Wyoming","WY","82001","${PlanName}"
