"provider","state","state1","zipcode","PlanName"
"LifeShield","Alabama","AL","35215","${PlanName}"
"##LifeShield","Alaska","AK","99504","${PlanName}"
"##LifeShield","Arkansas","AR","72209","${PlanName}"
"##LifeShield","Arizona","AZ","85364","${PlanName}"
"##LifeShield","California","CA","90011","${PlanName}"
"##LifeShield","Colorado","CO","80219","${PlanName}"
"##LifeShield","Connecticut","CT","06606","${PlanName}"
"##LifeShield","Delaware","DE","19805","${PlanName}"
"##LifeShield","District Of Columbia","DC","20015","${PlanName}"
"##LifeShield","Florida","FL","33186","${PlanName}"
"##LifeShield","Georgia","GA","30044","${PlanName}"
"##LifeShield","Hawaii","HI","96818","${PlanName}"
"##LifeShield","Iowa","IA","50317","${PlanName}"
"##LifeShield","Idaho","ID","83709","${PlanName}"
"##LifeShield","Illinois","IL","60629","${PlanName}"
"##LifeShield","Indiana","IN","46227","${PlanName}"
"##LifeShield","Kansas","KS","66062","${PlanName}"
"##LifeShield","Kentucky","KY","40214","${PlanName}"
"##LifeShield","Louisiana","LA","70816","${PlanName}"
"##LifeShield","Massachusetts","MA","02128","${PlanName}"
"##LifeShield","Maryland","MD","21215","${PlanName}"
"##LifeShield","Maine","ME","04401","${PlanName}"
"##LifeShield","Michigan","MI","48228","${PlanName}"
"##LifeShield","Minnesota","MN","55106","${PlanName}"
"##LifeShield","Missouri","MO","63129","${PlanName}"
"##LifeShield","Mississippi","MS","39503","${PlanName}"
"##LifeShield","Montana","MT","59102","${PlanName}"
"##LifeShield","North Carolina","NC","28269","${PlanName}"
"##LifeShield","North Dakota","ND","58103","${PlanName}"
"##LifeShield","Nebraska","NE","68104","${PlanName}"
"##LifeShield","New Hampshire","NH","03103","${PlanName}"
"##LifeShield","New Jersey","NJ","08701","${PlanName}"
"##LifeShield","New Mexico","NM","87121","${PlanName}"
"##LifeShield","Nevada","NV","89110","${PlanName}"
"##LifeShield","New York","NY","11226","${PlanName}"
"##LifeShield","Ohio","OH","43228","${PlanName}"
"##LifeShield","Oklahoma","OK","73160","${PlanName}"
"##LifeShield","Oregon","OR","97229","${PlanName}"
"##LifeShield","Pennsylvania","PA","19120","${PlanName}"
"##LifeShield","Rhode Island","RI","02909","${PlanName}"
"##LifeShield","South Carolina","SC","29223","${PlanName}"
"##LifeShield","South Dakota","SD","57106","${PlanName}"
"##LifeShield","Tennessee","TN","37013","${PlanName}"
"##LifeShield","Texas","TX","79936","${PlanName}"
"##LifeShield","Utah","UT","84120","${PlanName}"
"##LifeShield","Virginia","VA","23464","${PlanName}"
"##LifeShield","Vermont","VT","05401","${PlanName}"
"##LifeShield","Washington","WA","98115","${PlanName}"
"##LifeShield","Wisconsin","WI","53215","${PlanName}"
"##LifeShield","West Virginia","WV","25302","${PlanName}"
"##LifeShield","Wyoming","WY","82001","${PlanName}"
