"provider","state","state1","zipcode","PlanName"
"National General","Alabama","AL","35215","${PlanName}"
"National General","Alaska","AK","99504","${PlanName}"
"National General","Arkansas","AR","72209","${PlanName}"
"National General","Arizona","AZ","85364","${PlanName}"
"National General","California","CA","90011","${PlanName}"
"National General","Colorado","CO","80219","${PlanName}"
"National General","Connecticut","CT","06606","${PlanName}"
"National General","Delaware","DE","19805","${PlanName}"
"National General","District Of Columbia","DC","20015","${PlanName}"
"National General","Florida","FL","33186","${PlanName}"
"National General","Georgia","GA","30044","${PlanName}"
"National General","Hawaii","HI","96818","${PlanName}"
"National General","Iowa","IA","50317","${PlanName}"
"National General","Idaho","ID","83709","${PlanName}"
"National General","Illinois","IL","60629","${PlanName}"
"National General","Indiana","IN","46227","${PlanName}"
"National General","Kansas","KS","66062","${PlanName}"
"National General","Kentucky","KY","40214","${PlanName}"
"National General","Louisiana","LA","70816","${PlanName}"
"National General","Massachusetts","MA","02128","${PlanName}"
"National General","Maryland","MD","21215","${PlanName}"
"National General","Maine","ME","04401","${PlanName}"
"National General","Michigan","MI","48228","${PlanName}"
"National General","Minnesota","MN","55106","${PlanName}"
"National General","Missouri","MO","63129","${PlanName}"
"National General","Mississippi","MS","39503","${PlanName}"
"National General","Montana","MT","59102","${PlanName}"
"National General","North Carolina","NC","28269","${PlanName}"
"National General","North Dakota","ND","58103","${PlanName}"
"National General","Nebraska","NE","68104","${PlanName}"
"National General","New Hampshire","NH","03103","${PlanName}"
"National General","New Jersey","NJ","08701","${PlanName}"
"National General","New Mexico","NM","87121","${PlanName}"
"National General","Nevada","NV","89110","${PlanName}"
"National General","New York","NY","11226","${PlanName}"
"National General","Ohio","OH","43228","${PlanName}"
"National General","Oklahoma","OK","73160","${PlanName}"
"National General","Oregon","OR","97229","${PlanName}"
"National General","Pennsylvania","PA","19120","${PlanName}"
"National General","Rhode Island","RI","02909","${PlanName}"
"National General","South Carolina","SC","29223","${PlanName}"
"National General","South Dakota","SD","57106","${PlanName}"
"National General","Tennessee","TN","37013","${PlanName}"
"National General","Texas","TX","79936","${PlanName}"
"National General","Utah","UT","84120","${PlanName}"
"National General","Virginia","VA","23464","${PlanName}"
"National General","Vermont","VT","05401","${PlanName}"
"National General","Washington","WA","98115","${PlanName}"
"National General","Wisconsin","WI","53215","${PlanName}"
"National General","West Virginia","WV","25302","${PlanName}"
"National General","Wyoming","WY","82001","${PlanName}"
