"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7","plan name"
"Birmingham","Alabama","AL","35215","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months?  (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years  have you or anyone named received medical or surgical consultation  advice  or treatment  including medication for any of the following:  liver disorders  kidney disorders  chronic obstructive pulmonary disorder (COPD) or emphysema  diabetes  cancer  heart or circulatory system disorders (excluding high blood pressure)  Crohn's disease or ulcerative colitis  or alcohol or drug abuse or immune system disorders?  (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years  have you or has anyone named received treatment  advice  medication  or surgical consultation for HIV infection from a doctor or other licensed clinical professional  or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) named will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Anchorage","Alaska","AK","99504","","","","","","","",""
"Little Rock","Arkansas","AR","72209","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years  have you or has anyone named received treatment  advice  medication  or surgical consultation for HIV infection from a doctor or other licensed clinical professional  or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) named will not be covered under the policy/certificate.)","${Q7}","${plan}"
"Phoenix","Arizona","AZ","85364","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years have you or anyone named received medical or surgical consultation advice or treatment including medication for any of the following: liver disorders kidney disorders chronic obstructive pulmonary disorder (COPD) or emphysema diabetes cancer heart or circulatory system disorders (excluding high blood pressure) Crohn's disease or ulcerative colitis or alcohol or drug abuse or immune system disorders? (The person(s) named will not be covered under the policy/certificate.)","Within the last 5 years  have you or has anyone named received treatment  advice  medication  or surgical consultation for HIV infection from a doctor or other licensed clinical professional  or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) named will not be covered under the policy/certificate.)","${Q7}","${plan}"
"##Los Angeles","California","CA","90011","","","","","","","",""
"##Denver","Colorado","CO","80219","","","","","","","",""
"##Bridgeport","Connecticut","CT","06606","","","","","","","",""
"Wilmington","Delaware","DE","19805","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or has anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy.)","Have you or has any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months?  (The person(s) named will not be covered under the policy.)","Do you or does any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy.)","Within the last 5 years  have you or has anyone named received medical or surgical consultation  advice  or treatment  including medication for any of the following:  liver disorders  kidney disorders  chronic obstructive pulmonary disorder (COPD) or emphysema  diabetes  cancer  heart or circulatory system disorders (excluding high blood pressure)  Crohn's disease or ulcerative colitis  or alcohol or drug abuse or immune system disorders?  (The person(s) named will not be covered under the policy.)","Within the last 5 years  have you or has anyone listed received treatment  advice  medication  or surgical consultation for HIV infection from a doctor or other licensed clinical professional  or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? (The person(s) named will not be covered under the policy.)","${Q7}","${plan}"
"##Chevy Chase","District Of Columbia","DC","20015","","","","","","","",""
"Jacksonville","Florida","FL","33186","Are you or is any family member (whether or not named) an expectant mother or father in the process of adopting a child or undergoing infertility treatment? If yes coverage cannot be issued.","Have you or anyone named been declined for insurance due to health reasons? (The person(s) named will not be covered under the policy/certificate.)","Have you or any person named lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? (The person(s) named will not be covered under the policy/certificate.)","Do you or does any person named now have hospital or medical expense insurance that will not terminate prior to the requested effective date? (The person(s) named will not be covered under the policy/certificate)","Within the last 5 years  have you or anyone named received medical or surgical consultation  advice  or treatment  including medication  for any of the following: liver disorders  kidney disorders  chronic obstructive pulmonary disorder (COPD) or emphysema  diabetes  cancer  heart or circulatory system disorders (excluding high blood pressure)  Crohn's disease or ulcerative colitis  or alcohol or drug abuse?  (The person(s) named will not be covered under the policy/certificate.)","Has any applicant: (a) tested positive for exposure to the HIV infection in a test performed by a doctor or other licensed clinical professional; (b) been diagnosed by a doctor or other licensed clinical professional as having Acquired Immune Deficiency Syndrome (AIDS) caused by HIV infection; or (c) been diagnosed by a doctor or other licensed clinical professional as having any other sickness or condition derived from an HIV infection? (The person(s) named will not be covered under the policy/certificate.)","${Q7}","${plan}"
