"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","plan name"
"Los Angeles","California","CA","90011","1. Will you have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have you: Been denied insurance due to any health reasons for a condition that is still present? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years have you been diagnosed, treated, or taken medication for any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years have you been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Denver","Colorado","CO","80219","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Manchester","New Hampshire","NH","03103","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Seattle","Washington","WA","98115","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Fargo","North Dakota","ND","58103","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Columbus","Ohio","OH","43228","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Virginia Beach","Virginia","VA","23464","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Des Moines","Iowa","IA","50317","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Albuquerque","New Mexico","NM","87121","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Providence","Rhode Island","RI","02909","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Have/Are you, or any applicant: Been denied insurance due to any health reasons for a condition that is still present (Does not apply to residents of MO)? Now pregnant, in process of adoption or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Anchorage","Alaska","AK","99504","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Phoenix","Arizona","AZ","85364","1. Will any applicant have other health insurance in force on the policy effective date?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?  Residents of WI do not need to disclose HIV test results.","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Jacksonville","Florida","FL","33186","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for or experienced signs or symptoms of any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
"Atlanta","Georgia","GA","30044","1. Will any applicant have other health insurance in force on the policy effective date or be eligible for Medicaid?","2. 	Are you or any applicant: Now pregnant, an expectant father, in process of adoption, or undergoing infertility treatment? Over 300 pounds if male or over 250 pounds if female?","3. Within the last 5 years has any applicant been diagnosed, treated, or taken medication for any of the following:  cancer or tumor, stroke, heart disease including heart attack, chest pain or had heart surgery, COPD (chronic obstructive pulmonary disease) or emphysema, Crohn's disease, liver disorder, degenerative disc disease or herniation/bulge, rheumatoid arthritis, kidney disorder, diabetes, degenerative joint disease of the knee, alcohol abuse or chemical dependency, or any neurological disorder?","4. 	Within the last 5 years has any applicant been diagnosed or treated by a physician or medical practitioner for Acquired Immune Deficiency Syndrome (AIDS) or tested positive for Human Immunodeficiency Virus (HIV)?","5. 	If you are not a US Citizen, do you expect to legally reside in the US for the duration of the policy?","${plan}"
